"ORF","Kcode","ORF_alias","contig","Bin"
"ORF258","KO00640","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
"ORF258","KO00010","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
"ORF258","KO00020","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
"ORF258","KO00260","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
"ORF258","KO00310","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
"ORF258","KO00380","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
"ORF259","K00785","ORF259","NODE_108_length_18427_cov_263.854","Bin7"
"ORF260","K00010","ORF260","NODE_108_length_18427_cov_263.854","Bin7"
"ORF260","KO00020","ORF260","NODE_108_length_18427_cov_263.854","Bin7"
"ORF260","KO00620","ORF260","NODE_108_length_18427_cov_263.854","Bin7"
"ORF267","K00450","ORF267","NODE_1095_length_790_cov_1.554","Unbinned"
"ORF267","KO00970","ORF267","NODE_1095_length_790_cov_1.554","Unbinned"
"ORF277","K00860","ORF277","NODE_109_length_18387_cov_71.97","Bin7"
"ORF277","KO00970","ORF277","NODE_109_length_18387_cov_71.97","Bin7"
"ORF293","K00261","ORF293","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF293","KO00300","ORF293","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF297","K00473","ORF297","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF300","K00970","ORF300","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF302","K00970","ORF302","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF311","K00730","ORF311","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF316","K00970","ORF316","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF317","K00970","ORF317","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF327","K00240","ORF327","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF327","KO00983","ORF327","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF338","K00400","ORF338","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF339","K00400","ORF339","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF355","K00550","ORF355","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF360","K00240","ORF360","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF360","KO00983","ORF360","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF362","K00550","ORF362","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF366","K00550","ORF366","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF391","K00561","ORF391","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF391","KO00564","ORF391","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF391","KO04070","ORF391","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF392","K00240","ORF392","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF392","KO00983","ORF392","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF396","K00970","ORF396","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF402","K00670","ORF402","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF402","KO00720","ORF402","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF405","K04926","ORF405","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF405","KO05170","ORF405","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF405","KO04150","ORF405","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF405","KO04151","ORF405","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF405","KO04714","ORF405","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF405","KO05163","ORF405","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF405","KO05165","ORF405","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF410","K00550","ORF410","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF416","K00760","ORF416","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF418","K00650","ORF418","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF418","KO00430","ORF418","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF418","KO00620","ORF418","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF418","KO00640","ORF418","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF418","KO00680","ORF418","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF418","KO00720","ORF418","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF420","K00400","ORF420","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF421","K00400","ORF421","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF422","K00640","ORF422","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF423","K00030","ORF423","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF428","K00970","ORF428","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF434","K00550","ORF434","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF435","K00550","ORF435","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF435","KO00520","ORF435","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF435","KO00471","ORF435","NODE_10_length_189179_cov_6.4752","Bin8"
"ORF470","K00500","ORF470","NODE_110_length_17969_cov_1401.32","Bin1"
"ORF501","K00230","ORF501","NODE_1120_length_750_cov_0.995542","Unbinned"
"ORF504","K00051","ORF504","NODE_1123_length_749_cov_43.0164","Unbinned"
"ORF504","KO00520","ORF504","NODE_1123_length_749_cov_43.0164","Unbinned"
"ORF528","K00720","ORF528","NODE_1137_length_728_cov_1.95853","Unbinned"
"ORF528","KO00710","ORF528","NODE_1137_length_728_cov_1.95853","Unbinned"
"ORF528","KO00620","ORF528","NODE_1137_length_728_cov_1.95853","Unbinned"
"ORF528","KO00680","ORF528","NODE_1137_length_728_cov_1.95853","Unbinned"
"ORF591","K00785","ORF591","NODE_1160_length_706_cov_15.1892","Unbinned"
"ORF591","KO00780","ORF591","NODE_1160_length_706_cov_15.1892","Unbinned"
"ORF598","K00760","ORF598","NODE_1165_length_700_cov_0.882825","Unbinned"
"ORF602","K00860","ORF602","NODE_1168_length_696_cov_1.36349","Unbinned"
"ORF613","K00860","ORF613","NODE_116_length_14876_cov_1391.4","Bin1"
"ORF627","K00260","ORF627","NODE_1178_length_683_cov_1.67492","Unbinned"
"ORF627","KO00270","ORF627","NODE_1178_length_683_cov_1.67492","Unbinned"
"ORF627","KO00300","ORF627","NODE_1178_length_683_cov_1.67492","Unbinned"
"ORF631","K00340","ORF631","NODE_117_length_14756_cov_1.86743","Bin8"
"ORF634","K00790","ORF634","NODE_117_length_14756_cov_1.86743","Bin8"
"ORF635","K00680","ORF635","NODE_117_length_14756_cov_1.86743","Bin8"
"ORF638","K00564","ORF638","NODE_117_length_14756_cov_1.86743","Bin8"
"ORF643","K00970","ORF643","NODE_1183_length_679_cov_31.8953","Unbinned"
"ORF644","K00970","ORF644","NODE_1184_length_679_cov_14.6362","Unbinned"
"ORF658","K00290","ORF658","NODE_118_length_14486_cov_299.263","Bin7"
"ORF658","KO00650","ORF658","NODE_118_length_14486_cov_299.263","Bin7"
"ORF658","KO00660","ORF658","NODE_118_length_14486_cov_299.263","Bin7"
"ORF658","KO00770","ORF658","NODE_118_length_14486_cov_299.263","Bin7"
"ORF658","KO00620","ORF658","NODE_118_length_14486_cov_299.263","Bin7"
"ORF663","K00790","ORF663","NODE_1193_length_671_cov_1.66498","Unbinned"
"ORF675","K00730","ORF675","NODE_119_length_13984_cov_279.89","Bin7"
"ORF676","K00670","ORF676","NODE_119_length_13984_cov_279.89","Bin7"
"ORF676","KO00720","ORF676","NODE_119_length_13984_cov_279.89","Bin7"
"ORF681","K00400","ORF681","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF682","K00400","ORF682","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF683","K00400","ORF683","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF690","K00910","ORF690","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF690","KO00630","ORF690","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF690","KO00220","ORF690","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF690","KO00250","ORF690","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF697","K00770","ORF697","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF697","KO00280","ORF697","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF697","KO00290","ORF697","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF697","KO00966","ORF697","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF697","KO00270","ORF697","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF698","K00564","ORF698","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF699","K00400","ORF699","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF700","K00240","ORF700","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF700","KO00250","ORF700","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF705","K00400","ORF705","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF721","K00730","ORF721","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF721","KO00900","ORF721","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF723","K00500","ORF723","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF732","K00760","ORF732","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF749","K00564","ORF749","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF753","K00561","ORF753","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF753","KO00061","ORF753","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF754","K00061","ORF754","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF755","K00061","ORF755","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF755","KO00780","ORF755","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF761","K00750","ORF761","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF768","K00300","ORF768","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF775","K00970","ORF775","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF785","K00240","ORF785","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF788","K00770","ORF788","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF789","K00410","ORF789","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF789","KO00770","ORF789","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF790","K00410","ORF790","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF790","KO00770","ORF790","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF793","K00240","ORF793","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF793","KO00250","ORF793","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF806","K00770","ORF806","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF811","K00540","ORF811","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF811","KO00400","ORF811","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF815","K00240","ORF815","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF815","KO00250","ORF815","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF818","K00400","ORF818","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF818","KO00405","ORF818","NODE_11_length_176058_cov_1386.65","Bin1"
"ORF848","K00730","ORF848","NODE_1213_length_647_cov_103.437","Unbinned"
"ORF858","K00052","ORF858","NODE_121_length_13859_cov_71.5889","Bin7"
"ORF858","KO00030","ORF858","NODE_121_length_13859_cov_71.5889","Bin7"
"ORF858","KO00051","ORF858","NODE_121_length_13859_cov_71.5889","Bin7"
"ORF858","KO00471","ORF858","NODE_121_length_13859_cov_71.5889","Bin7"
"ORF858","KO00680","ORF858","NODE_121_length_13859_cov_71.5889","Bin7"
"ORF858","KO00010","ORF858","NODE_121_length_13859_cov_71.5889","Bin7"
"ORF873","K00620","ORF873","NODE_1225_length_636_cov_53.771","Unbinned"
"ORF881","K00680","ORF881","NODE_122_length_13465_cov_200.015","Bin7"
"ORF885","K00010","ORF885","NODE_122_length_13465_cov_200.015","Bin7"
"ORF885","KO00052","ORF885","NODE_122_length_13465_cov_200.015","Bin7"
"ORF885","KO00680","ORF885","NODE_122_length_13465_cov_200.015","Bin7"
"ORF885","KO00030","ORF885","NODE_122_length_13465_cov_200.015","Bin7"
"ORF885","KO00051","ORF885","NODE_122_length_13465_cov_200.015","Bin7"
"ORF887","K00380","ORF887","NODE_122_length_13465_cov_200.015","Bin7"
"ORF887","KO00630","ORF887","NODE_122_length_13465_cov_200.015","Bin7"
"ORF894","K00473","ORF894","NODE_1233_length_628_cov_0.686025","Unbinned"
"ORF900","K00450","ORF900","NODE_1238_length_624_cov_44.5046","Unbinned"
"ORF900","KO00970","ORF900","NODE_1238_length_624_cov_44.5046","Unbinned"
"ORF902","K00480","ORF902","NODE_123_length_13419_cov_17.2447","Bin8"
"ORF904","K00480","ORF904","NODE_123_length_13419_cov_17.2447","Bin8"
"ORF919","K00900","ORF919","NODE_1245_length_618_cov_0.939002","Unbinned"
"ORF924","K00220","ORF924","NODE_1249_length_617_cov_1.03519","Unbinned"
"ORF981","K00052","ORF981","NODE_126_length_13047_cov_191.82","Bin7"
"ORF981","KO00030","ORF981","NODE_126_length_13047_cov_191.82","Bin7"
"ORF981","KO00051","ORF981","NODE_126_length_13047_cov_191.82","Bin7"
"ORF981","KO00471","ORF981","NODE_126_length_13047_cov_191.82","Bin7"
"ORF981","KO00680","ORF981","NODE_126_length_13047_cov_191.82","Bin7"
"ORF981","KO00010","ORF981","NODE_126_length_13047_cov_191.82","Bin7"
"ORF1000","K00520","ORF1000","NODE_127_length_12937_cov_250.243","Bin7"
"ORF1008","K00051","ORF1008","NODE_1280_length_584_cov_11.6943","Unbinned"
"ORF1008","KO00520","ORF1008","NODE_1280_length_584_cov_11.6943","Unbinned"
"ORF1010","K00472","ORF1010","NODE_1281_length_583_cov_1.05336","Unbinned"
"ORF1010","KO00999","ORF1010","NODE_1281_length_583_cov_1.05336","Unbinned"
"ORF1014","K00260","ORF1014","NODE_1283_length_582_cov_0.730693","Unbinned"
"ORF1014","KO00400","ORF1014","NODE_1283_length_582_cov_0.730693","Unbinned"
"ORF1024","K00900","ORF1024","NODE_128_length_12642_cov_1.92161","Bin8"
"ORF1026","K00900","ORF1026","NODE_128_length_12642_cov_1.92161","Bin8"
"ORF1028","K00010","ORF1028","NODE_128_length_12642_cov_1.92161","Bin8"
"ORF1028","KO00680","ORF1028","NODE_128_length_12642_cov_1.92161","Bin8"
"ORF1035","K00230","ORF1035","NODE_1292_length_577_cov_1.422","Unbinned"
"ORF1035","KO00240","ORF1035","NODE_1292_length_577_cov_1.422","Unbinned"
"ORF1052","K00521","ORF1052","NODE_129_length_12617_cov_160.759","Bin1"
"ORF1052","KO00523","ORF1052","NODE_129_length_12617_cov_160.759","Bin1"
"ORF1052","KO00525","ORF1052","NODE_129_length_12617_cov_160.759","Bin1"
"ORF1058","K00680","ORF1058","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1058","KO00620","ORF1058","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1058","KO00640","ORF1058","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1058","KO00650","ORF1058","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1058","KO00720","ORF1058","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1058","KO00430","ORF1058","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1059","K00650","ORF1059","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1059","KO00430","ORF1059","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1059","KO00620","ORF1059","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1059","KO00640","ORF1059","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1059","KO00680","ORF1059","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1059","KO00720","ORF1059","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1066","K00061","ORF1066","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1066","KO00780","ORF1066","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1067","K00061","ORF1067","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1068","K00061","ORF1068","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1068","KO00780","ORF1068","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1071","K00520","ORF1071","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1090","K00900","ORF1090","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1098","K00473","ORF1098","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1098","KO00550","ORF1098","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1106","K00770","ORF1106","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1106","KO00473","ORF1106","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1116","K00730","ORF1116","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1116","KO00900","ORF1116","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1123","K00970","ORF1123","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1126","K00900","ORF1126","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1127","K00970","ORF1127","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1129","K00860","ORF1129","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1129","KO00970","ORF1129","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1130","K00970","ORF1130","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1130","KO00240","ORF1130","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1130","KO00670","ORF1130","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1135","K00480","ORF1135","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1155","K00785","ORF1155","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1160","K00230","ORF1160","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1160","KO00730","ORF1160","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1170","K00970","ORF1170","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1171","K00260","ORF1171","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1171","KO00670","ORF1171","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1173","K00260","ORF1173","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","K00280","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","KO00620","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","KO00640","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","KO00010","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","KO00020","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","KO00260","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","KO00310","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1174","KO00380","ORF1174","NODE_12_length_173411_cov_8.71534","Bin8"
"ORF1209","K00910","ORF1209","NODE_130_length_12596_cov_1348.67","Bin2"
"ORF1209","KO00630","ORF1209","NODE_130_length_12596_cov_1348.67","Bin2"
"ORF1209","KO00220","ORF1209","NODE_130_length_12596_cov_1348.67","Bin2"
"ORF1209","KO00250","ORF1209","NODE_130_length_12596_cov_1348.67","Bin2"
"ORF1210","K00970","ORF1210","NODE_130_length_12596_cov_1348.67","Bin2"
"ORF1218","K00760","ORF1218","NODE_1313_length_558_cov_49.8254","Unbinned"
"ORF1221","K00670","ORF1221","NODE_1315_length_557_cov_14.6167","Unbinned"
"ORF1221","KO00970","ORF1221","NODE_1315_length_557_cov_14.6167","Unbinned"
"ORF1222","K00780","ORF1222","NODE_1316_length_556_cov_0.818372","Unbinned"
"ORF1238","K00030","ORF1238","NODE_1325_length_550_cov_0.978858","Unbinned"
"ORF1273","K00270","ORF1273","NODE_1341_length_542_cov_1.83011","Unbinned"
"ORF1286","K00230","ORF1286","NODE_134_length_11886_cov_1355.43","Bin1"
"ORF1286","KO00240","ORF1286","NODE_134_length_11886_cov_1355.43","Bin1"
"ORF1286","KO00760","ORF1286","NODE_134_length_11886_cov_1355.43","Bin1"
"ORF1287","K00270","ORF1287","NODE_134_length_11886_cov_1355.43","Bin1"
"ORF1297","K00770","ORF1297","NODE_1356_length_533_cov_55.4079","Unbinned"
"ORF1301","K00970","ORF1301","NODE_135_length_11807_cov_2.02003","Bin8"
"ORF1302","K00970","ORF1302","NODE_135_length_11807_cov_2.02003","Bin8"
"ORF1302","KO00760","ORF1302","NODE_135_length_11807_cov_2.02003","Bin8"
"ORF1303","K00340","ORF1303","NODE_135_length_11807_cov_2.02003","Bin8"
"ORF1327","K00970","ORF1327","NODE_136_length_11749_cov_2.02579","Bin8"
"ORF1345","K00770","ORF1345","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1345","KO00280","ORF1345","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1345","KO00290","ORF1345","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1345","KO00966","ORF1345","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1345","KO00270","ORF1345","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1347","K04926","ORF1347","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1347","KO05170","ORF1347","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1347","KO04150","ORF1347","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1347","KO04151","ORF1347","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1347","KO04714","ORF1347","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1347","KO05163","ORF1347","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1347","KO05165","ORF1347","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1348","K00230","ORF1348","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1349","K00970","ORF1349","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1352","K00550","ORF1352","NODE_137_length_11648_cov_2.03293","Bin8"
"ORF1367","K00680","ORF1367","NODE_138_length_11636_cov_98.2126","Bin7"
"ORF1376","K00010","ORF1376","NODE_138_length_11636_cov_98.2126","Bin7"
"ORF1376","KO00052","ORF1376","NODE_138_length_11636_cov_98.2126","Bin7"
"ORF1376","KO00680","ORF1376","NODE_138_length_11636_cov_98.2126","Bin7"
"ORF1376","KO00030","ORF1376","NODE_138_length_11636_cov_98.2126","Bin7"
"ORF1376","KO00051","ORF1376","NODE_138_length_11636_cov_98.2126","Bin7"
"ORF1398","K00250","ORF1398","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1398","KO00430","ORF1398","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1401","K00730","ORF1401","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1401","KO00900","ORF1401","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1403","K00260","ORF1403","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1403","KO00270","ORF1403","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1403","KO00300","ORF1403","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1403","KO00261","ORF1403","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1404","K00300","ORF1404","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1404","KO00270","ORF1404","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1404","KO00220","ORF1404","NODE_13_length_165336_cov_279.623","Bin7"
"ORF1404","KO00260","ORF1404","NODE_13_length_165336_cov_279.623","Bin7"
