ORFG KO
ORF6403 ko00620
ORF6403 ko00640
ORF6403 ko00650
ORF6403 ko00720
ORF6403 ko00430
ORF6404 ko00500
ORF6405 ko00052
ORF6405 ko00520
ORF6407 ko00500
ORF6408 ko00500
ORF6408 ko00030
ORF6408 ko00051
ORF6408 ko00520
ORF6408 ko00010
ORF6410 ko00480
ORF6410 ko00410
ORF6410 ko00270
ORF6410 ko00330
ORF6417 ko00780
ORF6422 ko00910
ORF6422 ko00630
ORF6422 ko00220
ORF6422 ko00250
ORF6459 ko00051
ORF6459 ko00520
ORF6551 ko00640
ORF6551 ko00620
ORF6551 ko00010
ORF6551 ko00270
ORF6560 ko00680
ORF6560 ko00620
ORF6560 ko00640
ORF6560 ko00720
ORF6560 ko00430
ORF6561 ko00680
ORF6561 ko00620
ORF6561 ko00640
ORF6561 ko00720
ORF6561 ko00430
ORF6575 ko00760
ORF6576 ko00970
ORF6586 ko00550
ORF6605 ko00680
ORF6605 ko00030
ORF6605 ko00051
ORF6605 ko00710
ORF6605 ko00010
ORF6609 ko00750
ORF6609 ko00680
ORF6609 ko00260
ORF6609 ko00270
ORF6612 ko00010
ORF6612 ko00052
ORF6612 ko00680
ORF6612 ko00030
ORF6612 ko00051
ORF6631 ko00780
ORF6638 ko00860
ORF6638 ko00970
ORF6640 ko00230
ORF6640 ko00240
ORF6661 ko00500
ORF6663 ko00500
ORF6668 ko00270
ORF6679 ko00400
ORF6679 ko00340
ORF6679 ko00350
ORF6679 ko00360
ORF6679 ko00401
ORF6679 ko00960
ORF6682 ko00500
ORF6687 ko00730
ORF6687 ko00780
ORF6700 ko04658
ORF6700 ko04660
ORF6700 ko05235
ORF6706 ko00500
ORF6707 ko00030
ORF6707 ko00730
ORF6707 ko00040
ORF6707 ko00710
ORF6710 ko00670
ORF6710 ko00970
ORF6724 ko00230
ORF6724 ko00250
ORF6731 ko00770
ORF6738 ko00400
ORF6739 ko00400
ORF6746 ko00340
ORF6747 ko00970
ORF6748 ko00730
ORF6753 ko00230
ORF6753 ko00240
ORF6753 ko00983
ORF6754 ko00270
ORF6754 ko00330
ORF6756 ko00900
ORF6756 ko00564
ORF6756 ko00240
ORF6756 ko00561
ORF6757 ko00400
ORF6776 ko00330
ORF6777 ko00480
ORF6777 ko00410
ORF6777 ko00270
ORF6777 ko00330
ORF6783 ko00970
ORF6785 ko00970
ORF6786 ko00300
ORF6791 ko00550
ORF6792 ko00030
ORF6792 ko00983
ORF6792 ko00230
ORF6792 ko00240
ORF6796 ko00330
ORF6836 ko00710
ORF6836 ko00620
ORF6836 ko00010
ORF6836 ko00020
ORF6837 ko00220
ORF6837 ko00330
ORF6846 ko00970
ORF6850 ko00520
ORF6850 ko00500
ORF6850 ko04658
ORF6850 ko04660
ORF6850 ko05235
ORF6850 ko00010
ORF6850 ko00030
ORF6853 ko00471
ORF6853 ko00550
ORF6855 ko00030
ORF6855 ko00230
ORF6855 ko00520
ORF6866 ko00230
ORF6866 ko00983
ORF6873 ko00620
ORF6874 ko00620
ORF6875 ko00770
ORF6877 ko00970
ORF7029 ko00450
ORF7029 ko00970
ORF7030 ko00450
ORF7031 ko00550
ORF7046 ko00740
ORF7046 ko00230
ORF7046 ko00240
ORF7046 ko00500
ORF7046 ko00760
ORF7046 ko00770
ORF7100 ko00010
ORF7100 ko00230
ORF7100 ko00620
ORF7101 ko00052
ORF7101 ko00030
ORF7101 ko00051
ORF7101 ko00680
ORF7101 ko00010
ORF7112 ko00520
ORF7112 ko00550
ORF7131 ko00750
ORF7175 ko00910
ORF7175 ko00720
ORF7175 ko00633
ORF7175 ko00680
ORF7177 ko00270
ORF7177 ko00450
ORF7182 ko00860
ORF7194 ko00500
ORF7204 ko00970
ORF7317 ko00550
ORF7322 ko00970
ORF7324 ko00240
ORF7324 ko00670
ORF7324 ko00790
ORF7338 ko00260
ORF7338 ko00400
ORF7492 ko00030
ORF7553 ko00790
ORF7576 ko00550
ORF7580 ko00780
ORF7589 ko00450
ORF7594 ko00561
ORF7594 ko00061
ORF7602 ko00010
ORF7602 ko00710
ORF7603 ko00010
ORF7603 ko00562
ORF7603 ko00680
ORF7603 ko00260
ORF7603 ko00710
ORF7603 ko00051
ORF7619 ko00520
ORF7623 ko00195
ORF7630 ko00550
ORF7651 ko00340
ORF7651 ko00670
ORF7675 ko00550
ORF7677 ko00620
ORF7708 ko00230
ORF7829 ko00480
ORF7835 ko00520
ORF7852 ko00480
ORF7853 ko00450
ORF7856 ko00030
ORF7861 ko00473
ORF7861 ko00550
ORF7863 ko00970
ORF7863 ko00471
ORF7901 ko00550
ORF7984 ko00240
ORF8076 ko00240
ORF8076 ko00983
ORF8084 ko00785
ORF8084 ko00380
ORF8084 ko00630
ORF8086 ko00730
ORF8086 ko00900
ORF8091 ko00785
ORF8091 ko00780
ORF8104 ko00670
ORF8104 ko00040
ORF8104 ko00710
ORF8104 ko00970
ORF8104 ko00030
ORF8154 ko00473
ORF8163 ko00730
ORF8163 ko00900
ORF8170 ko00290
ORF8170 ko00770
ORF8171 ko00770
ORF8171 ko00660
ORF8171 ko00290
ORF8171 ko00650
ORF8221 ko00220
ORF8224 ko00330
ORF8237 ko00270
ORF8237 ko00920
ORF8338 ko00230
ORF8338 ko00983
ORF8341 ko00195
ORF8350 ko00290
ORF8350 ko00620
ORF8359 ko00790
ORF8366 ko00260
ORF8366 ko00270
ORF8366 ko00300
ORF8368 ko00300
ORF8368 ko00270
ORF8368 ko00260
ORF8368 ko00261
ORF8402 ko00970
ORF8403 ko00230
ORF8404 ko00970
ORF8415 ko00970
ORF8434 ko00230
ORF8435 ko00770
ORF8437 ko00970
ORF8441 ko00620
ORF8441 ko00710
ORF8441 ko00720
ORF8447 ko00480
ORF8497 ko00260
ORF8497 ko00400
ORF8555 ko00670
ORF8555 ko00720
ORF8560 ko00900
ORF8573 ko00970
ORF8656 ko00760
ORF8707 ko00270
ORF8708 ko00220
ORF8709 ko00520
ORF8710 ko00250
ORF8710 ko00520
ORF8711 ko00450
ORF8711 ko00970
ORF8716 ko00010
ORF8716 ko00680
ORF8717 ko00760
ORF8720 ko00260
ORF8720 ko00670
ORF8721 ko00670
ORF8721 ko00720
ORF8724 ko00480
ORF8774 ko00750
ORF9014 ko00500
ORF9017 ko00500
ORF9033 ko00520
ORF9079 ko00650
ORF9079 ko00620
ORF9079 ko00010
ORF9079 ko00020
ORF9082 ko00270
ORF9082 ko00920
ORF9082 ko00998
ORF9083 ko00970
ORF9088 ko00790
ORF9094 ko00230
ORF9094 ko00983
ORF9102 ko00970
ORF9103 ko00970
ORF9114 ko00970
ORF9115 ko00970
ORF9119 ko00970
ORF9125 ko00983
ORF9125 ko00480
ORF9125 ko00230
ORF9125 ko00240
ORF9150 ko00230
ORF9150 ko00240
ORF9150 ko00760
ORF9264 ko00500
ORF9369 ko00340
ORF9370 ko00230
ORF9371 ko00471
ORF9371 ko00340
ORF9371 ko00220
ORF9371 ko00250
ORF9372 ko00340
ORF9373 ko00340
ORF9375 ko00340
ORF9389 ko00010
ORF9389 ko00020
ORF9389 ko00620
ORF9410 ko00860
ORF9422 ko00400
ORF9426 ko00240
ORF9477 ko00270
ORF9477 ko00450
ORF9512 ko00970
ORF9519 ko00460
ORF9519 ko00500
ORF9519 ko00940
ORF9522 ko00970
ORF9523 ko00970
ORF9524 ko00910
ORF9524 ko00630
ORF9524 ko00220
ORF9524 ko00250
ORF9526 ko00520
ORF9526 ko00500
ORF9526 ko00010
ORF9526 ko00030
ORF9537 ko00910
ORF9537 ko00630
ORF9537 ko00220
ORF9537 ko00250
ORF9640 ko00970
ORF9641 ko00400
ORF9652 ko00908
ORF9662 ko00473
ORF9687 ko00910
ORF9687 ko00630
ORF9687 ko00220
ORF9687 ko00250
ORF9694 ko00970
ORF9701 ko00230
ORF9744 ko00240
ORF9744 ko00983
ORF9746 ko00680
ORF9770 ko00250
ORF9770 ko00520
ORF9779 ko00760
ORF9791 ko00680
ORF9791 ko00620
ORF9791 ko00640
ORF9791 ko00720
ORF9791 ko00430
ORF9816 ko00230
ORF9816 ko00983
ORF9828 ko00670
ORF9828 ko00720
ORF9905 ko00230
ORF9905 ko00250
ORF9909 ko00514
ORF9909 ko00515
ORF9915 ko00300
ORF9916 ko00300
ORF9922 ko00790
ORF9931 ko00400
ORF9950 ko00052
ORF9950 ko00520
ORF9951 ko00230
ORF9951 ko00240
ORF9951 ko00983
ORF9954 ko00010
ORF9954 ko00260
ORF9954 ko00680
ORF9966 ko00010
ORF9966 ko00230
ORF9966 ko00620
ORF9967 ko00521
ORF9967 ko00523
ORF9967 ko00525
ORF10080 ko00970
ORF10083 ko00790
ORF10090 ko00230
ORF10090 ko00983
ORF10245 ko00270
ORF10245 ko00480
ORF10249 ko00330
ORF10256 ko00480
ORF10288 ko00230
ORF10288 ko00240
ORF10288 ko00760
ORF10296 ko00340
ORF10296 ko00670
ORF10324 ko00260
ORF10331 ko00900
ORF10352 ko00473
ORF10352 ko00550
ORF10352 ko00300
ORF10533 ko00261
ORF10533 ko00300
ORF10543 ko00760
ORF10545 ko00520
ORF10546 ko00250
ORF10546 ko00520
ORF10595 ko00730
ORF10659 ko00520
ORF10659 ko00010
ORF10659 ko00052
ORF10659 ko00500
ORF10659 ko00521
ORF10659 ko00524
ORF10682 ko00230
ORF10682 ko00730
ORF10718 ko00900
ORF10718 ko00970
ORF10727 ko00030
ORF10727 ko00230
ORF10727 ko00520
ORF10730 ko00970
ORF10735 ko00730
ORF10735 ko00900
ORF10736 ko00760
ORF10736 ko00720
ORF10736 ko00430
ORF10736 ko00620
ORF10736 ko00640
ORF10736 ko00650
ORF10736 ko00680
ORF10740 ko00030
ORF10740 ko00230
ORF10741 ko00230
ORF10741 ko00983
ORF10741 ko00240
ORF10741 ko00760
ORF10743 ko00970
ORF10743 ko00900
ORF10743 ko00240
ORF10743 ko00760
ORF10746 ko00760
ORF10754 ko00970
ORF10757 ko00240
ORF10757 ko00190
ORF10757 ko00195
ORF10757 ko00983
ORF10757 ko00670
ORF10759 ko00785
ORF10770 ko00240
ORF10770 ko00970
ORF10771 ko00230
ORF10771 ko00250
ORF10775 ko00190
ORF10775 ko00195
ORF10776 ko00052
ORF10776 ko00030
ORF10776 ko00051
ORF10776 ko00680
ORF10776 ko00010
ORF10777 ko00473
ORF10777 ko00550
ORF10777 ko00471
ORF10779 ko00970
ORF10783 ko00770
ORF10792 ko00052
ORF10793 ko00670
ORF10793 ko00460
ORF10793 ko00630
ORF10793 ko00680
ORF10793 ko00260
ORF10794 ko00520
ORF10794 ko00770
ORF10794 ko00550
ORF10794 ko00240
ORF10795 ko00010
ORF10795 ko00562
ORF10795 ko00710
ORF10795 ko00051
