ORFG KO
ORF2871 ko00550
ORF2882 ko00061
ORF2882 ko00780
ORF2883 ko00471
ORF2883 ko00550
ORF2888 ko00520
ORF2889 ko00030
ORF2889 ko00230
ORF2892 ko00290
ORF2892 ko00770
ORF2898 ko00290
ORF2898 ko00620
ORF2898 ko00660
ORF2927 ko00860
ORF2929 ko00860
ORF2933 ko00920
ORF2935 ko00920
ORF2935 ko00450
ORF2935 ko00230
ORF2935 ko00261
ORF2937 ko00920
ORF2946 ko00520
ORF2966 ko00790
ORF2967 ko00790
ORF2971 ko00770
ORF2984;ORF9097 ko00052
ORF2985 ko00240
ORF2985 ko00550
ORF2992 ko00190
ORF2992 ko00195
ORF2994 ko00190
ORF2994 ko00195
ORF3003 ko00770
ORF3003 ko00660
ORF3003 ko00290
ORF3003 ko00650
ORF2761 ko00680
ORF2798 ko00970
ORF2797 ko00230
ORF2797 ko00220
ORF2799 ko00770
ORF2799 ko00660
ORF2799 ko00290
ORF2799 ko00650
ORF2800 ko00290
ORF2800 ko00770
ORF2832 ko00860
ORF2835 ko00680
ORF2836 ko00680
ORF2837 ko00680
ORF2838 ko00680
ORF3185;ORF1491 ko00520
ORF3200 ko00480
ORF3201;ORF6808;ORF10023;ORF6239 ko00270
ORF3203 ko00780
ORF3204;ORF1237 ko00780
ORF3210 ko00561
ORF3221;ORF8698;ORF8937 ko00061
ORF3221;ORF8698;ORF8937 ko00780
ORF3223;ORF6530;ORF8696 ko00680
ORF3223;ORF6530;ORF8696 ko00030
ORF3223;ORF6530;ORF8696 ko00051
ORF3223;ORF6530;ORF8696 ko00710
ORF3223;ORF6530;ORF8696 ko00010
ORF3229;ORF9596 ko00340
ORF3235;ORF2513;ORF900 ko00450
ORF3235;ORF2513;ORF900 ko00970
ORF3237 ko00450
ORF3237 ko00561
ORF3238 ko00061
ORF3240;ORF64 ko00450
ORF3241 ko00051
ORF3242 ko00051
ORF3245;ORF2216 ko00710
ORF3245;ORF2216 ko00620
ORF3245;ORF2216 ko00010
ORF3245;ORF2216 ko00020
ORF3259;ORF1582 ko00230
ORF3260;ORF2724;ORF1221 ko00670
ORF3260;ORF2724;ORF1221 ko00970
ORF3260;ORF2724;ORF1221 ko00230
ORF3265;ORF10565;ORF10566 ko00230
ORF3270;ORF2256;ORF10573 ko00750
ORF3019 ko00790
ORF3120 ko00860
ORF5489 ko00190
ORF5489 ko00195
ORF5539 ko00970
ORF3753 ko00983
ORF3753 ko00480
ORF3753 ko00230
ORF3753 ko00240
ORF3758;ORF3967 ko00561
ORF3760 ko00680
ORF3760 ko00620
ORF3760 ko00640
ORF3760 ko00770
ORF3760 ko00720
ORF3760 ko00430
ORF3762;ORF4100 ko00620
ORF3762;ORF4100 ko00710
ORF3762;ORF4100 ko00720
ORF3763;ORF5490;ORF3912 ko00030
ORF3763;ORF5490;ORF3912 ko00564
ORF3763;ORF5490;ORF3912 ko04070
ORF3763;ORF5490;ORF3912 ko00970
ORF3763;ORF5490;ORF3912 ko00561
ORF3768;ORF1820 ko00340
ORF3768;ORF1820 ko00670
ORF3769;ORF3008 ko00471
ORF3779;ORF3593;ORF916;ORF9968 ko00240
ORF3779;ORF3593;ORF916;ORF9968 ko00525
ORF3779;ORF3593;ORF916;ORF9968 ko00521
ORF3779;ORF3593;ORF916;ORF9968 ko00523
ORF3786;ORF1297 ko00770
ORF3787 ko00410
ORF3787 ko00770
ORF3788;ORF2844 ko00970
ORF3795;ORF215 ko00970
ORF3796;ORF4104 ko00564
ORF3797 ko00620
ORF3798 ko00790
ORF3799 ko00790
ORF3800 ko00190
ORF3800 ko00195
ORF3800 ko00790
ORF3813 ko00760
ORF3818 ko00550
ORF3822 ko00230
ORF3822 ko00970
ORF3683 ko00860
ORF3685 ko00860
ORF3840 ko00680
ORF3962 ko00860
ORF4224 ko00970
ORF4205 ko00473
ORF4207 ko00240
ORF4207 ko00983
ORF4208 ko00790
ORF4210;ORF5212 ko00620
ORF4210;ORF5212 ko00627
ORF4214;ORF7494 ko00195
ORF4216 ko00030
ORF4216 ko00680
ORF4223 ko00770
ORF4230 ko00550
ORF4235 ko00520
ORF4235 ko00550
ORF4253 ko00230
ORF4253 ko00770
ORF4255 ko00280
ORF4255 ko00620
ORF4255 ko00640
ORF4255 ko00010
ORF4255 ko00020
ORF4255 ko00260
ORF4255 ko00310
ORF4255 ko00380
ORF4258 ko00970
ORF4259 ko00790
ORF4074 ko00760
ORF4074 ko00790
ORF4098 ko00450
ORF4098 ko00970
ORF4146 ko00230
ORF4146 ko00970
ORF4146 ko00270
ORF4156 ko00230
ORF4156 ko00730
ORF4158 ko00240
ORF4455 ko00240
ORF4465 ko00450
ORF4465 ko00970
ORF4502 ko00970
ORF4502 ko00998
ORF4502 ko00270
ORF4502 ko00920
ORF4299 ko00680
ORF4301 ko00680
ORF4314 ko00260
ORF4314 ko00400
ORF4315 ko00400
ORF4361 ko00240
ORF4688;ORF4846;ORF7166;ORF3165 ko00380
ORF4713;ORF4885;ORF7997 ko00260
ORF4883;ORF4714 ko00240
ORF4863;ORF4740 ko00260
ORF4863;ORF4740 ko00400
ORF4746;ORF4858 ko00480
ORF4594 ko00770
ORF4802 ko00471
ORF4802 ko00340
ORF4802 ko00860
ORF4802 ko00220
ORF4802 ko00250
ORF4805 ko00010
ORF4805 ko00710
ORF4829 ko00300
ORF4829 ko00270
ORF4829 ko00220
ORF4829 ko00260
ORF4829 ko00261
ORF4831 ko00261
ORF4831 ko00300
ORF4832 ko00261
ORF4832 ko00300
ORF5002 ko00400
ORF5002 ko00540
ORF5027 ko00330
ORF5027 ko00332
ORF5031 ko00550
ORF4923 ko00680
ORF4923 ko00030
ORF4923 ko00051
ORF4923 ko00710
ORF4923 ko00010
ORF5120 ko00250
ORF5120 ko00460
ORF5134 ko00970
ORF5140 ko00670
ORF5140 ko00460
ORF5140 ko00630
ORF5140 ko00680
ORF5140 ko00260
ORF5141 ko00564
ORF5141 ko00561
ORF5147 ko00473
ORF5152 ko00240
ORF5156 ko00230
ORF5158 ko00770
ORF5160 ko00670
ORF5160 ko00970
ORF5170 ko00770
ORF5176 ko00680
ORF5176 ko00620
ORF5176 ko00640
ORF5176 ko00720
ORF5176 ko00430
ORF5179 ko00561
ORF5048 ko00010
ORF5048 ko00230
ORF5048 ko00620
ORF5353 ko00500
ORF5362;ORF7677 ko00620
ORF5385 ko00620
ORF5385 ko00640
ORF5385 ko00650
ORF5407 ko00500
ORF5412 ko04658
ORF5412 ko04660
ORF5412 ko05235
ORF5423 ko00500
ORF5334 ko00061
ORF6631 ko00780
ORF6638 ko00860
ORF6638 ko00970
ORF6661 ko00500
ORF6663 ko00500
ORF6668 ko00270
ORF6679 ko00400
ORF6679 ko00340
ORF6679 ko00350
ORF6679 ko00360
ORF6679 ko00401
ORF6679 ko00960
ORF6682 ko00500
ORF6688 ko00730
ORF6706 ko00500
ORF6707 ko00030
ORF6707 ko00730
ORF6707 ko00040
ORF6707 ko00710
ORF6710 ko00670
ORF6710 ko00970
ORF6724 ko00230
ORF6724 ko00250
ORF6738 ko00400
ORF6739 ko00400
ORF6746 ko00340
ORF6747 ko00970
ORF6748 ko00730
ORF6753 ko00230
ORF6753 ko00240
ORF6753 ko00983
ORF6756 ko00900
ORF6756 ko00564
ORF6756 ko00240
ORF6756 ko00561
ORF6757 ko00400
ORF6776 ko00330
ORF6777 ko00480
ORF6777 ko00410
ORF6777 ko00270
ORF6777 ko00330
ORF6783 ko00970
ORF6786 ko00300
ORF6792 ko00030
ORF6792 ko00983
ORF6792 ko00230
ORF6792 ko00240
ORF6796 ko00330
ORF5609 ko00740
ORF5742 ko00020
ORF5742 ko00480
ORF5742 ko00720
ORF5745 ko00500
ORF5754 ko00500
ORF5756 ko00260
ORF5756 ko00270
ORF5756 ko00300
ORF5770 ko00330
ORF5770 ko00332
ORF5778 ko00860
ORF5888 ko00290
ORF5898 ko00500
ORF5898 ko00520
ORF5825 ko00030
ORF5825 ko00230
ORF5964 ko00400
ORF5966 ko00564
ORF5967 ko00900
ORF5967 ko00240
ORF5975 ko00740
ORF5976 ko00970
ORF5979 ko00900
ORF5981 ko00240
ORF5918 ko00230
ORF5918 ko00250
ORF5919 ko00970
ORF6049 ko00500
ORF6056;ORF9762 ko00520
ORF6056;ORF9762 ko00052
ORF6056;ORF9762 ko00500
ORF6056;ORF9762 ko00561
ORF6056;ORF9762 ko00040
ORF6070 ko00190
ORF6070 ko00195
ORF6079 ko04658
ORF6079 ko04660
ORF6079 ko05235
ORF6005 ko00910
ORF6005 ko00630
ORF6005 ko00220
ORF6005 ko00250
ORF6008 ko00750
ORF6008 ko00471
ORF6008 ko00220
ORF6008 ko00250
ORF6029 ko00564
ORF6035 ko00680
ORF6036 ko00680
ORF9488;ORF6171 ko00650
ORF9488;ORF6171 ko00620
ORF9488;ORF6171 ko00010
ORF9488;ORF6171 ko00020
ORF9465;ORF6177;ORF1907;ORF4123 ko00600
ORF9466;ORF6179;ORF4121 ko00052
ORF9466;ORF6179;ORF4121 ko00520
ORF9477;ORF6191;ORF91;ORF4617 ko00270
ORF9477;ORF6191;ORF91;ORF4617 ko00450
ORF6284 ko00010
ORF6284 ko00260
ORF6284 ko00680
ORF6290 ko00500
ORF6299 ko00770
ORF6305 ko00520
ORF6310 ko00052
ORF6310 ko00030
ORF6310 ko00051
ORF6310 ko00680
ORF6310 ko00010
ORF6324 ko00230
ORF6324 ko00250
ORF6325 ko00230
ORF6325 ko00670
ORF6325 ko00970
ORF6326 ko00230
ORF6326 ko00670
ORF6327 ko00230
ORF6335;ORF5530 ko00970
ORF6338 ko00860
ORF6379 ko00500
ORF6390 ko00052
ORF6390 ko00520
ORF6399 ko00240
ORF6399 ko00983
ORF6402 ko00240
ORF6403 ko00680
ORF6403 ko00620
ORF6403 ko00640
ORF6403 ko00650
ORF6403 ko00720
ORF6403 ko00430
ORF6404 ko00500
ORF6407 ko00500
ORF6408 ko00500
ORF6408 ko00030
ORF6408 ko00051
ORF6408 ko00520
ORF6408 ko00010
ORF6410 ko00480
ORF6410 ko00410
ORF6410 ko00270
ORF6410 ko00330
ORF6417 ko00780
ORF6422 ko00910
ORF6422 ko00630
ORF6422 ko00220
ORF6422 ko00250
ORF6341 ko00680
ORF6355 ko00680
ORF6500 ko00970
ORF6459;ORF8014;ORF2175;ORF3610;ORF1008 ko00051
ORF6459;ORF8014;ORF2175;ORF3610;ORF1008 ko00520
ORF6551 ko00640
ORF6551 ko00620
ORF6551 ko00010
ORF6551 ko00270
ORF6560 ko00680
ORF6560 ko00620
ORF6560 ko00640
ORF6560 ko00720
ORF6560 ko00430
ORF6561 ko00680
ORF6561 ko00620
ORF6561 ko00640
ORF6561 ko00720
ORF6561 ko00430
ORF6575 ko00760
ORF6576 ko00970
ORF6605 ko00680
ORF6605 ko00030
ORF6605 ko00051
ORF6605 ko00710
ORF6605 ko00010
ORF6609 ko00750
ORF6609 ko00680
ORF6609 ko00260
ORF6609 ko00270
ORF6612 ko00010
ORF6612 ko00052
ORF6612 ko00680
ORF6612 ko00030
ORF6612 ko00051
ORF6522 ko00480
ORF6527 ko00720
ORF6526 ko00910
ORF6526 ko00720
ORF6526 ko00633
ORF6526 ko00680
ORF7553 ko00790
ORF7580 ko00780
ORF7589 ko00450
ORF7594 ko00561
ORF7594 ko00061
ORF7602 ko00010
ORF7602 ko00710
ORF7603 ko00010
ORF7603 ko00562
ORF7603 ko00680
ORF7603 ko00260
ORF7603 ko00710
ORF7603 ko00051
ORF7619 ko00520
ORF7623 ko00195
ORF7624 ko00260
ORF7624 ko00270
ORF7651 ko00340
ORF7651 ko00670
ORF7667 ko00730
ORF7708 ko00230
ORF7716 ko00240
ORF7723 ko00562
ORF7725 ko00562
ORF7726 ko00562
ORF7727 ko00040
ORF6836 ko00710
ORF6836 ko00620
ORF6836 ko00010
ORF6836 ko00020
ORF6837 ko00220
ORF6837 ko00330
ORF6846 ko00970
ORF6849 ko00860
ORF6853 ko00471
ORF6853 ko00550
ORF6855 ko00030
ORF6855 ko00230
ORF6855 ko00520
ORF6866 ko00230
ORF6866 ko00983
ORF6873;ORF5658 ko00620
ORF6875 ko00770
ORF6877 ko00970
ORF6890 ko00240
ORF6890 ko00983
ORF7017 ko00860
ORF7029 ko00450
ORF7029 ko00970
ORF7032 ko00670
ORF7032 ko00720
ORF7035 ko00760
ORF7051 ko00770
ORF6985 ko00750
ORF7100 ko00010
ORF7100 ko00230
ORF7100 ko00620
ORF7101 ko00052
ORF7101 ko00030
ORF7101 ko00051
ORF7101 ko00680
ORF7101 ko00010
ORF7112 ko00520
ORF7112 ko00550
ORF7114 ko00640
ORF7114 ko00620
ORF7114 ko00010
ORF7114 ko00270
ORF7131 ko00750
ORF7070 ko00521
ORF7070 ko00562
ORF7175 ko00910
ORF7175 ko00720
ORF7175 ko00633
ORF7175 ko00680
ORF7177 ko00270
ORF7177 ko00450
ORF7182 ko00860
ORF7194 ko00500
ORF7204 ko00970
ORF7227 ko00471
ORF7234 ko00190
ORF7234 ko00195
ORF7322 ko00970
ORF7324 ko00240
ORF7324 ko00670
ORF7324 ko00790
ORF7338 ko00260
ORF7338 ko00400
ORF7367 ko00564
ORF7469 ko00620
ORF7469 ko00710
ORF7469 ko00720
ORF7428 ko00480
ORF8350 ko00290
ORF8350 ko00620
ORF8366 ko00260
ORF8366 ko00270
ORF8366 ko00300
ORF8368 ko00300
ORF8368 ko00270
ORF8368 ko00260
ORF8368 ko00261
ORF8403 ko00230
ORF8415 ko00970
ORF8434 ko00230
ORF8435 ko00770
ORF8437 ko00970
ORF8441 ko00620
ORF8441 ko00710
ORF8441 ko00720
ORF8447 ko00480
ORF8497 ko00260
ORF8497 ko00400
ORF7735 ko00300
ORF7735 ko00270
ORF7735 ko00260
ORF7735 ko00261
ORF7737 ko00400
ORF7739 ko00521
ORF7739 ko00523
ORF7739 ko00525
ORF7829 ko00480
ORF7835 ko00520
ORF7852 ko00480
ORF7853 ko00450
ORF7856 ko00030
ORF7861 ko00473
ORF7861 ko00550
ORF7863 ko00970
ORF7863 ko00471
ORF7925 ko00620
ORF7925 ko00627
ORF7888 ko00680
ORF7984 ko00240
ORF8000 ko00240
ORF8076;ORF3929;ORF869 ko00240
ORF8076;ORF3929;ORF869 ko00983
ORF8084;ORF2402;ORF1837 ko00785
ORF8084;ORF2402;ORF1837 ko00380
ORF8084;ORF2402;ORF1837 ko00630
ORF8086 ko00730
ORF8086 ko00900
ORF8091 ko00785
ORF8091 ko00780
ORF8104 ko00670
ORF8104 ko00040
ORF8104 ko00710
ORF8104 ko00970
ORF8104 ko00030
ORF8067 ko00240
ORF8154 ko00473
ORF8163 ko00730
ORF8163 ko00900
ORF8170 ko00290
ORF8170 ko00770
ORF8171 ko00770
ORF8171 ko00660
ORF8171 ko00290
ORF8171 ko00650
ORF8135 ko00010
ORF8135 ko00562
ORF8135 ko00710
ORF8135 ko00051
ORF8220 ko00220
ORF8221 ko00220
ORF8224 ko00330
ORF8225 ko00240
ORF8225 ko00250
ORF8226;ORF138 ko00240
ORF8226;ORF138 ko00250
ORF8227 ko00220
ORF8237 ko00270
ORF8237 ko00920
ORF8178 ko00220
ORF8178 ko00250
ORF8183 ko00230
ORF8183 ko00240
ORF8183 ko00983
ORF8185 ko00720
ORF8185 ko00660
ORF8185 ko00020
ORF8185 ko00640
ORF8194 ko00625
ORF8194 ko00910
ORF8241 ko00030
ORF8261 ko00860
ORF8338;ORF5818 ko00230
ORF8338;ORF5818 ko00983
ORF8341 ko00195
ORF8290 ko00400
ORF8290 ko00405
ORF8305 ko00680
ORF8308 ko00670
ORF8308 ko00460
ORF8308 ko00630
ORF8308 ko00680
ORF8308 ko00260
ORF9033 ko00520
ORF9039 ko00620
ORF9039 ko00680
ORF9039 ko00720
ORF9076 ko00730
ORF9079 ko00650
ORF9079 ko00620
ORF9079 ko00010
ORF9079 ko00020
ORF9081 ko00650
ORF9081 ko00620
ORF9081 ko00010
ORF9081 ko00020
ORF9082 ko00270
ORF9082 ko00920
ORF9082 ko00998
ORF9083 ko00970
ORF9086 ko00970
ORF9088 ko00790
ORF9094 ko00230
ORF9094 ko00983
ORF9102 ko00970
ORF9103 ko00970
ORF9107 ko00270
ORF9114 ko00970
ORF9115 ko00970
ORF9119 ko00970
ORF9125 ko00983
ORF9125 ko00480
ORF9125 ko00230
ORF9125 ko00240
ORF9144 ko00860
ORF9150 ko00230
ORF9150 ko00240
ORF9150 ko00760
ORF8555 ko00670
ORF8555 ko00720
ORF8560 ko00900
ORF8573 ko00970
ORF8641 ko00640
ORF8641 ko00010
ORF8641 ko00620
ORF8641 ko00630
ORF8641 ko00680
ORF8641 ko00720
ORF8707;ORF4304;ORF4092;ORF4600;ORF4415;ORF4357 ko00270
ORF8708 ko00220
ORF8709 ko00520
ORF8710 ko00250
ORF8710 ko00520
ORF8711 ko00450
ORF8711 ko00970
ORF8716 ko00010
ORF8716 ko00680
ORF8717 ko00760
ORF8720 ko00260
ORF8720 ko00670
ORF8721;ORF1920;ORF1555 ko00670
ORF8721;ORF1920;ORF1555 ko00720
ORF8724 ko00480
ORF8688 ko00910
ORF8700 ko00300
ORF8774 ko00750
ORF8783 ko00230
ORF8783 ko00983
ORF8793;ORF2825 ko00240
ORF8793;ORF2825 ko00250
ORF8852 ko00970
ORF8905 ko00190
ORF8940 ko00400
ORF9008 ko00910
ORF9014 ko00500
ORF8985 ko00340
ORF8987 ko00260
ORF8987 ko00400
ORF9668 ko00270
ORF9668 ko00330
ORF9671 ko00480
ORF9671 ko00410
ORF9671 ko00270
ORF9671 ko00330
ORF9687 ko00910
ORF9687 ko00630
ORF9687 ko00220
ORF9687 ko00250
ORF9694 ko00970
ORF9701 ko00230
ORF9744 ko00240
ORF9744 ko00983
ORF9746 ko00680
ORF9770 ko00250
ORF9770 ko00520
ORF9791 ko00680
ORF9791 ko00620
ORF9791 ko00640
ORF9791 ko00720
ORF9791 ko00430
ORF9792 ko00400
ORF9792 ko00340
ORF9792 ko00350
ORF9792 ko00360
ORF9792 ko00401
ORF9792 ko00960
ORF9816 ko00230
ORF9816 ko00983
ORF9820 ko00230
ORF9821 ko00230
ORF9824 ko00230
ORF9824 ko00970
ORF9824 ko00670
ORF9824 ko00250
ORF9826 ko00230
ORF9828 ko00670
ORF9828 ko00720
ORF9193 ko00030
ORF9193 ko00680
ORF9193 ko00240
ORF9264 ko00500
ORF9274 ko00230
ORF9240 ko00970
ORF9365 ko00340
ORF9368 ko00400
ORF9368 ko00340
ORF9368 ko00350
ORF9368 ko00360
ORF9368 ko00401
ORF9368 ko00960
ORF9369 ko00340
ORF9370 ko00230
ORF9371 ko00471
ORF9371 ko00340
ORF9371 ko00220
ORF9371 ko00250
ORF9372 ko00340
ORF9373 ko00340
ORF9375 ko00340
ORF9389 ko00010
ORF9389 ko00020
ORF9389 ko00620
ORF9422 ko00400
ORF9396 ko00750
ORF9406 ko00680
ORF9410 ko00860
ORF9512 ko00970
ORF9519 ko00460
ORF9519 ko00500
ORF9519 ko00940
ORF9522 ko00970
ORF9523 ko00970
ORF9524 ko00910
