Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy
NODE_100_length_21362_cov_245.16_15763_21362_+	PF00015;PF02289;PF02634;PF08443;PF01493;PF01874	Methyl-accepting chemotaxis protein (MCP) signalling domain;Cyclohydrolase (MCH);FdhD/NarQ family;RimK-like ATP-grasp domain;GXGXG motif;ATP:dephospho-CoA triphosphoribosyl transferase			IPR003209;IPR002736;IPR003786;IPR013651;IPR004666;IPR017550;IPR004089;IPR002489	Methenyltetrahydromethanopterin cyclohydrolase;Triphosphoribosyl-dephospho-CoA protein;Sulfur carrier protein FdhD;ATP-grasp fold, RimK-type;Ribosomal S6 modification enzyme RimK/Lysine biosynthesis enzyme LysX;Formylmethanofuran dehydrogenase subunit C;Methyl-accepting chemotaxis protein (MCP) signalling domain;Glutamate synthase, alpha subunit, C-terminal	GO:0006730;GO:0016020;GO:0016491;GO:0055114;GO:0005524;GO:0016310;GO:0046917;GO:0016783;GO:0006464;GO:0015948;GO:0018493;GO:0046914;GO:0018759;GO:0007165	ko00680	3.5.4.27;1.2.7.12	TIGR00768;TIGR03120;TIGR03122	rimK_fam: alpha-L-glutamate ligase, RimK family;one_C_mch: methenyltetrahydromethanopterin cyclohydrolase;one_C_dehyd_C: formylmethanofuran dehydrogenase subunit C	MF_00486	Methenyltetrahydromethanopterin cyclohydrolase [mch].	
NODE_100_length_21362_cov_245.16_1941_2582_-	PF03358	NADPH-dependent FMN reductase			IPR005025	NADPH-dependent FMN reductase-like	GO:0016491							
NODE_100_length_21362_cov_245.16_2586_3381_+	PF12804	MobA-like NTP transferase domain			IPR013482;IPR025877	Molybdenum cofactor guanylyltransferase;MobA-like NTP transferase	GO:0003824;GO:0006777	ko00790	2.7.7.77			MF_00316	Molybdenum cofactor guanylyltransferase [mobA].	
NODE_100_length_21362_cov_245.16_281_1097_+	PF01934;PF18765	Protein of unknown function DUF86;Polymerase beta, Nucleotidyltransferase			IPR008201;IPR041633	Protein of unknown function DUF86;Polymerase beta, nucleotidyltransferase								
NODE_100_length_21362_cov_245.16_3714_5253_+	PF09959	Uncharacterized protein conserved in archaea (DUF2193)			IPR018694	Protein of unknown function DUF2193								
NODE_100_length_21362_cov_245.16_5324_12043_+	PF00384;PF02649;PF02655;PF07969;PF09176;PF01288;PF01568	Molybdopterin oxidoreductase;Type I GTP cyclohydrolase folE2;ATP-grasp domain;Amidohydrolase family;Methylene-tetrahydromethanopterin dehydrogenase, N-terminal;7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK);Molydopterin dinucleotide binding domain			IPR022840;IPR006657;IPR003801;IPR003806;IPR013108;IPR015259;IPR012027;IPR016457;IPR006656;IPR000550	GTP cyclohydrolase MptA;Molybdopterin dinucleotide-binding domain;GTP cyclohydrolase FolE2/MptA;ATP-grasp fold, PylC-type;Amidohydrolase 3;Methylene-tetrahydromethanopterin dehydrogenase, N-terminal;Formylmethanofuran dehydrogenase, subunit A;Formylmethanofuran dehydrogenase, subunit B;Molybdopterin oxidoreductase;7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	GO:0003933;GO:0003848;GO:0009396;GO:0043546;GO:0005524;GO:0046872;GO:0015948;GO:0018493;GO:0016491;GO:0055114	ko00790;ko00680	3.5.4.39;1.2.7.12;2.7.6.3;3.5.4.16	TIGR00294;TIGR03129;TIGR01498;TIGR03121	TIGR00294: GTP cyclohydrolase;one_C_dehyd_B: formylmethanofuran dehydrogenase subunit B;folK: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase;one_C_dehyd_A: formylmethanofuran dehydrogenase subunit A	MF_01527_A	GTP cyclohydrolase FolE2 [folE2].	
NODE_1010_length_950_cov_1.25659_1_950_+	PF02514	CobN/Magnesium Chelatase			IPR003672	CobN/magnesium chelatase	GO:0009058							
NODE_1011_length_944_cov_3.89043_1_596_+	PF01522	Polysaccharide deacetylase			IPR002509	NodB homology domain	GO:0005975;GO:0016810							CE4
NODE_1012_length_943_cov_15.037_436_834_+	PF07963	Prokaryotic N-terminal methylation motif			IPR012902	Prokaryotic N-terminal methylation site				TIGR02532	IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain			
NODE_1013_length_942_cov_11_1_942_-	PF00082	Subtilase family			IPR000209	Peptidase S8/S53 domain	GO:0004252;GO:0006508							
NODE_1014_length_941_cov_1.12153_1_466_+	PF05872	Bacterial protein of unknown function (DUF853)			IPR033186	Helicase HerA-like C-terminal								
NODE_1014_length_941_cov_1.12153_543_941_+	PF06803	Protein of unknown function (DUF1232)			IPR010652	Domain of unknown function DUF1232								
NODE_1017_length_939_cov_56.0719_172_939_+	PF01832;PF11148;PF12841	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase;Protein of unknown function (DUF2922);YvrJ protein family			IPR002901;IPR021321;IPR024419	Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain;Protein of unknown function DUF2922;Protein of unknown function YvrJ	GO:0004040							
NODE_1018_length_938_cov_2008.71_733_938_+	PF09250	Bifunctional DNA primase/polymerase, N-terminal			IPR015330	DNA primase/polymerase, bifunctional, N-terminal								
NODE_1019_length_934_cov_1.23804_1_934_+	PF07690	Major Facilitator Superfamily			IPR011701	Major facilitator superfamily	GO:0005887;GO:0055085							
NODE_101_length_21264_cov_87.399_10327_11115_+	PF00795	Carbon-nitrogen hydrolase			IPR003010	Carbon-nitrogen hydrolase	GO:0006807							
NODE_101_length_21264_cov_87.399_11242_12774_+	PF02517;PF08241	CPBP intramembrane metalloprotease;Methyltransferase domain			IPR003675;IPR013216	CAAX prenyl protease 2;Methyltransferase type 11	GO:0071586;GO:0030176;GO:0008168;GO:0004197;GO:0016020							
NODE_101_length_21264_cov_87.399_12824_14498_+	PF02110;PF08543	Hydroxyethylthiazole kinase family;Phosphomethylpyrimidine kinase			IPR000417;IPR013749;IPR004399	Hydroxyethylthiazole kinase;Pyridoxamine kinase/Phosphomethylpyrimidine kinase;Hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	GO:0004417;GO:0009228;GO:0008972	ko00730	2.7.1.50;2.7.1.49	TIGR00097;TIGR00694	HMP-P_kinase: hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase;thiM: hydroxyethylthiazole kinase	MF_00228	Hydroxyethylthiazole kinase [thiM].	
NODE_101_length_21264_cov_87.399_14505_15192_+	PF02581	Thiamine monophosphate synthase			IPR034291;IPR022998	Thiamine phosphate synthase;Thiamine phosphate synthase/TenI	GO:0004789;GO:0009228	ko00730	2.5.1.3	TIGR00693	thiE: thiamine-phosphate diphosphorylase	MF_00097	Thiamine-phosphate synthase [thiE].	
NODE_101_length_21264_cov_87.399_15268_18068_+	PF03477;PF13597;PF04055;PF13353	ATP cone domain;Anaerobic ribonucleoside-triphosphate reductase;Radical SAM superfamily;4Fe-4S single cluster domain			IPR005144;IPR012840;IPR007197;IPR012833	ATP-cone domain;Anaerobic ribonucleoside-triphosphate reductase activating protein;Radical SAM;Ribonucleoside-triphosphate reductase, anaerobic	GO:0003824;GO:0006260;GO:0008998;GO:0016491;GO:0051536;GO:0055114	ko00230;ko00240	1.1.98.6	TIGR02487;TIGR02495	NrdD: anaerobic ribonucleoside-triphosphate reductase;NrdG2: anaerobic ribonucleoside-triphosphate reductase activating protein			
NODE_101_length_21264_cov_87.399_1681_2052_+	PF13192	Thioredoxin domain			IPR012336;IPR005243	Thioredoxin-like fold;Redox-active disulphide protein 2				TIGR00412	redox_disulf_2: redox-active disulfide protein 2			
NODE_101_length_21264_cov_87.399_18269_20693_+	PF00005;PF16949	ABC transporter;Putative ATP-binding cassette			IPR003439;IPR031599	ABC transporter-like;Putative ATP-binding cassette	GO:0005524;GO:0016887							
NODE_101_length_21264_cov_87.399_1_1676_+	PF03773;PF10865	Predicted permease;Domain of unknown function (DUF2703)			IPR005524;IPR021219	Predicted permease DUF318;Protein of unknown function DUF2703								
NODE_101_length_21264_cov_87.399_2465_3544_-	PF03060	Nitronate monooxygenase			IPR004136	Nitronate monooxygenase	GO:0018580;GO:0055114							
NODE_101_length_21264_cov_87.399_3616_4347_+	PF01381	Helix-turn-helix			IPR001387	Cro/C1-type helix-turn-helix domain								
NODE_101_length_21264_cov_87.399_4457_5290_+	PF03747	ADP-ribosylglycohydrolase			IPR005502	ADP-ribosylation/Crystallin J1								
NODE_101_length_21264_cov_87.399_5366_7989_+	PF00355;PF01593	Rieske [2Fe-2S] domain;Flavin containing amine oxidoreductase			IPR017941;IPR002937	Rieske [2Fe-2S] iron-sulphur domain;Amine oxidase	GO:0016491;GO:0051537;GO:0055114							
NODE_101_length_21264_cov_87.399_8025_10019_-	PF13641	Glycosyltransferase like family 2												GT2_Glyco_tranf_2_3
NODE_1020_length_932_cov_1.11813_1_514_+	PF02570	Precorrin-8X methylmutase			IPR003722	Cobalamin biosynthesis precorrin-8X methylmutase CobH/CbiC	GO:0009236;GO:0016993							
NODE_1020_length_932_cov_1.11813_526_932_+	PF00202	Aminotransferase class-III			IPR005814	Aminotransferase class-III	GO:0008483;GO:0030170							
NODE_1021_length_928_cov_1.57344_1_928_+	PF01634	ATP phosphoribosyltransferase			IPR013820	ATP phosphoribosyltransferase, catalytic domain	GO:0000105;GO:0003879;GO:0005737	ko00340	2.4.2.17					
NODE_1022_length_927_cov_2.04_1_927_+	PF01300;PF08423	Telomere recombination;Rad51			IPR006070;IPR013632	YrdC-like domain;DNA recombination and repair protein Rad51-like, C-terminal	GO:0003725			TIGR00057	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family			
NODE_1023_length_924_cov_1.52302_1_924_+	PF07969	Amidohydrolase family			IPR013108;IPR017550	Amidohydrolase 3;Formylmethanofuran dehydrogenase subunit C	GO:0055114;GO:0046914;GO:0015948;GO:0018493	ko00680	1.2.7.12	TIGR03122	one_C_dehyd_C: formylmethanofuran dehydrogenase subunit C			
NODE_1024_length_924_cov_2.03896_1_924_+	PF04471	Restriction endonuclease			IPR007560	Restriction endonuclease type IV,  Mrr	GO:0003677;GO:0004519;GO:0009307							
NODE_1025_length_923_cov_1.55437_1_923_-	PF03130;PF13646	PBS lyase HEAT-like repeat;HEAT repeats			IPR004155	PBS lyase HEAT-like repeat								
NODE_1026_length_921_cov_3.98578_1_921_+	PF00085;PF07992	Thioredoxin;Pyridine nucleotide-disulphide oxidoreductase			IPR013766;IPR023753	Thioredoxin domain;FAD/NAD(P)-binding domain	GO:0045454;GO:0016491;GO:0055114							
NODE_1027_length_919_cov_56.3052_1_500_-	PF05977	Transmembrane secretion effector			IPR010290	Transmembrane secretion effector								
NODE_1027_length_919_cov_56.3052_580_919_+	PF00149	Calcineurin-like phosphoesterase			IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787							
NODE_1028_length_917_cov_1.83214_1_917_-	PF00248;PF06935	Aldo/keto reductase family;Protein of unknown function (DUF1284)			IPR023210;IPR009702	NADP-dependent oxidoreductase domain;Protein of unknown function DUF1284								
NODE_1029_length_916_cov_1.56138_105_916_-	PF01842;PF14535	ACT domain;AMP-binding enzyme C-terminal domain			IPR002912;IPR028154	ACT domain;AMP-dependent ligase, C-terminal								
NODE_102_length_21186_cov_10.3554_12846_14121_+	PF04932	O-Antigen ligase			IPR007016	O-antigen ligase-related								
NODE_102_length_21186_cov_10.3554_15148_18048_+	PF01041;PF02397	DegT/DnrJ/EryC1/StrS aminotransferase family;Bacterial sugar transferase			IPR000653;IPR003362	DegT/DnrJ/EryC1/StrS aminotransferase;Bacterial sugar transferase								
NODE_102_length_21186_cov_10.3554_18049_19260_+	PF13535	ATP-grasp domain												
NODE_102_length_21186_cov_10.3554_19274_20295_+	PF00583	Acetyltransferase (GNAT) family			IPR000182	GNAT domain	GO:0008080							
NODE_102_length_21186_cov_10.3554_1_68_-	PF01078	Magnesium chelatase, subunit ChlI			IPR000523	Magnesium chelatase ChlI domain								
NODE_102_length_21186_cov_10.3554_2234_7517_-	PF01863;PF18766;PF03235;PF04313	Protein of unknown function DUF45;SWI2/SNF2 ATPase;Protein of unknown function DUF262;Type I restriction enzyme R protein N terminus (HSDR_N)			IPR002725;IPR040980;IPR004473;IPR004919;IPR007409	Protein of unknown function DUF45;SWI2/SNF2 ATPase;Restriction endonuclease, type I, HsdR;Domain of unknown function DUF262;Restriction endonuclease, type I, HsdR, N-terminal	GO:0003677;GO:0009307;GO:0005524;GO:0009035;GO:0004519;GO:0006304			TIGR00348	hsdR: type I site-specific deoxyribonuclease, HsdR family			
NODE_102_length_21186_cov_10.3554_274_1312_+	PF13730	Helix-turn-helix domain												
NODE_102_length_21186_cov_10.3554_7559_8932_-	PF01420	Type I restriction modification DNA specificity domain			IPR000055	Restriction endonuclease, type I, HsdS	GO:0003677;GO:0006304							
NODE_102_length_21186_cov_10.3554_8977_11643_-	PF01939;PF02384;PF12161	Endonuclease NucS;N-6 DNA Methylase;HsdM N-terminal domain			IPR002793;IPR003356;IPR022749	Endonuclease NucS;DNA methylase, adenine-specific;N6 adenine-specific DNA methyltransferase, N-terminal domain	GO:0004519;GO:0008170;GO:0003677;GO:0006306							
NODE_1030_length_915_cov_11.8819_1_915_-	PF02384	N-6 DNA Methylase			IPR003356	DNA methylase, adenine-specific	GO:0003677;GO:0006306;GO:0008170							
NODE_1031_length_907_cov_1.49277_1_893_-	PF01629;PF01813	Domain of unknown function DUF22;ATP synthase subunit D			IPR002699;IPR002572	ATPase, V1 complex, subunit D;Domain of unknown function DUF22	GO:0042626			TIGR00309	V_ATPase_subD: V-type ATPase, D subunit	MF_00271	V-type ATP synthase subunit D [atpD].	
NODE_1032_length_905_cov_0.983092_1_213_+	PF00583	Acetyltransferase (GNAT) family			IPR000182	GNAT domain	GO:0008080							
NODE_1033_length_901_cov_4.58981_1_776_+	PF00155	Aminotransferase class I and II			IPR004839	Aminotransferase, class I/classII	GO:0009058;GO:0030170							
NODE_1035_length_898_cov_3.59805_1_898_-	PF04326	Putative DNA-binding domain			IPR007421	Schlafen, AlbA_2 domain								
NODE_1036_length_897_cov_63.7293_1_897_-	PF00535	Glycosyl transferase family 2			IPR001173	Glycosyltransferase 2-like								
NODE_1037_length_895_cov_1.92176_57_895_-	PF06738	Putative threonine/serine exporter			IPR010619	Putative threonine/serine exporter								
NODE_1038_length_894_cov_1.75765_114_894_-	PF01472;PF01509;PF16198	PUA domain;TruB family pseudouridylate synthase (N terminal domain);tRNA pseudouridylate synthase B C-terminal domain			IPR002478;IPR004802;IPR004521;IPR002501;IPR032819	PUA domain;tRNA pseudouridine synthase B family;Uncharacterised domain CHP00451;Pseudouridine synthase II, N-terminal;tRNA pseudouridylate synthase B, C-terminal	GO:0003723;GO:0006396			TIGR00425;TIGR00451	CBF5: putative rRNA pseudouridine synthase;unchar_dom_2: uncharacterized domain 2			
NODE_1039_length_893_cov_1.35417_374_893_-	PF08735	Putative pyruvate format-lyase activating enzyme (DUF1786)			IPR014846	Protein of unknown function DUF1786, putative pyruvate format-lyase activating enzyme								
NODE_103_length_20772_cov_1557.83_10062_10841_-	PF12724	Flavodoxin domain			IPR026816	Flavodoxin domain								
NODE_103_length_20772_cov_1557.83_11215_11607_+	PF00392	Bacterial regulatory proteins, gntR family			IPR000524	Transcription regulator HTH, GntR	GO:0003700;GO:0006355							
NODE_103_length_20772_cov_1557.83_11612_13071_+	PF00005;PF13346	ABC transporter;ABC-2 family transporter protein			IPR003439;IPR025699	ABC transporter-like;ABC-2 membrane transporter-like	GO:0005524;GO:0016887							
NODE_103_length_20772_cov_1557.83_13146_16603_-	PF00404;PF03422;PF00457;PF01522	Dockerin type I domain;Carbohydrate binding module (family 6);Glycosyl hydrolases family 11;Polysaccharide deacetylase			IPR002105;IPR005084;IPR033123;IPR002509	Dockerin type I repeat;Carbohydrate binding module family 6;Glycosyl hydrolases family 11 (GH11) domain;NodB homology domain	GO:0000272;GO:0016810;GO:0030246;GO:0004553;GO:0005975							CBM6;CE4;GH11
NODE_103_length_20772_cov_1557.83_1318_2943_-	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle			IPR000914	Solute-binding protein family 5 domain								
NODE_103_length_20772_cov_1557.83_16970_17671_+	PF03749;PF17746	Sugar fermentation stimulation protein RE domain;SfsA N-terminal OB domain			IPR005224;IPR040452;IPR041465	Sugar fermentation stimulation protein;Sugar fermentation stimulation protein, C-terminal;SfsA, N-terminal OB domain	GO:0003677			TIGR00230	sfsA: sugar fermentation stimulation protein	MF_00095	Sugar fermentation stimulation protein A [sfsA].	
NODE_103_length_20772_cov_1557.83_17696_18880_-	PF12791	Anti-sigma factor N-terminus			IPR024449	Anti-sigma factor RsgI, N-terminal								
NODE_103_length_20772_cov_1557.83_18884_19648_-	PF04542	Sigma-70 region 2			IPR014244;IPR007627	RNA polymerase sigma-I type;RNA polymerase sigma-70 region 2	GO:0003700;GO:0006352;GO:0006355			TIGR02895	spore_sigI: RNA polymerase sigma-I factor	MF_02064	RNA polymerase sigma factor SigI [sigI].	
NODE_103_length_20772_cov_1557.83_2981_5172_-	PF00005;PF08352	ABC transporter;Oligopeptide/dipeptide transporter, C-terminal region			IPR003439;IPR013563	ABC transporter-like;Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0005524;GO:0015833;GO:0016887;GO:0000166			TIGR01727	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain			
NODE_103_length_20772_cov_1557.83_5243_6298_-	PF00528;PF12911	Binding-protein-dependent transport system inner membrane component;N-terminal TM domain of oligopeptide transport permease C			IPR000515;IPR025966	ABC transporter type 1, transmembrane domain MetI-like;Oligopeptide transport permease C-like, N-terminal domain	GO:0016020;GO:0055085							
NODE_103_length_20772_cov_1557.83_6341_7297_-	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515	ABC transporter type 1, transmembrane domain MetI-like	GO:0016020;GO:0055085							
NODE_103_length_20772_cov_1557.83_7582_8412_+	PF07833	Copper amine oxidase N-terminal domain			IPR012854	Copper amine oxidase-like, N-terminal								
NODE_103_length_20772_cov_1557.83_8731_9909_+	PF07690	Major Facilitator Superfamily			IPR011701	Major facilitator superfamily	GO:0005887;GO:0055085							
NODE_1040_length_891_cov_176.257_1_891_-	PF09985	C-terminal binding-module, SLH-like, of glucodextranase			IPR019248	Glucodextranase-like, C-terminal								
NODE_1041_length_890_cov_1.2337_1_612_+	PF03706	Lysylphosphatidylglycerol synthase TM region			IPR022791	Lysylphosphatidylglycerol synthetase/glycosyltransferase AglD				TIGR00374	TIGR00374: TIGR00374 family protein			
NODE_1043_length_886_cov_1.99629_1_886_+	PF13361	UvrD-like helicase C-terminal domain			IPR014017	UvrD-like DNA helicase, C-terminal	GO:0005524;GO:0016787							
NODE_1044_length_886_cov_3.37206_1_886_-	PF00132;PF14602	Bacterial transferase hexapeptide (six repeats);Hexapeptide repeat of succinyl-transferase			IPR001451	Hexapeptide repeat								
NODE_1045_length_882_cov_1.17516_1_760_+	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain			IPR004089	Methyl-accepting chemotaxis protein (MCP) signalling domain	GO:0007165;GO:0016020							
NODE_1046_length_879_cov_2.12843_212_838_+	PF01810	LysE type translocator			IPR001123	Amino acid exporter protein, LeuE-type	GO:0006865;GO:0016020							
NODE_1047_length_879_cov_2.56484_1_414_+	PF00196;PF09623	Bacterial regulatory proteins, luxR family;CRISPR-associated protein NE0113 (Cas_NE0113)			IPR000792;IPR019092	Transcription regulator LuxR, C-terminal;CRISPR-assoc protein, NE0113/Csx13	GO:0006355							
NODE_1048_length_869_cov_1.03283_1_869_+	PF13632	Glycosyl transferase family group 2			IPR001173	Glycosyltransferase 2-like								GT2_Glyco_trans_2_3
NODE_1049_length_869_cov_26.6212_1_869_-	PF00082;PF02225	Subtilase family;PA domain			IPR000209;IPR003137	Peptidase S8/S53 domain;PA domain	GO:0004252;GO:0006508							
NODE_104_length_20247_cov_279.004_10653_11150_-	PF01325;PF02742	Iron dependent repressor, N-terminal DNA binding domain;Iron dependent repressor, metal binding and dimerisation domain			IPR022687;IPR001367	DTXR-type HTH domain;Iron dependent repressor, metal binding and dimerisation domain	GO:0003677;GO:0046914;GO:0046983							
NODE_104_length_20247_cov_279.004_11185_11666_+	PF01381	Helix-turn-helix			IPR001387	Cro/C1-type helix-turn-helix domain								
NODE_104_length_20247_cov_279.004_11671_13011_+	PF01554	MatE			IPR002528	Multi antimicrobial extrusion protein	GO:0055085;GO:0042910;GO:0015297;GO:0016020			TIGR00797	matE: MATE efflux family protein			
NODE_104_length_20247_cov_279.004_13098_14213_-	PF00248;PF13534	Aldo/keto reductase family;4Fe-4S dicluster domain			IPR023210	NADP-dependent oxidoreductase domain								
NODE_104_length_20247_cov_279.004_14425_15390_+	PF10707;PF13424	PhoP regulatory network protein YrbL;Tetratricopeptide repeat			IPR019647	PhoP regulatory network protein YrbL								
NODE_104_length_20247_cov_279.004_1498_3980_-	PF00464;PF01546;PF07687	Serine hydroxymethyltransferase;Peptidase family M20/M25/M40;Peptidase dimerisation domain			IPR001085;IPR011650;IPR017439;IPR039429;IPR002933	Serine hydroxymethyltransferase;Peptidase M20, dimerisation domain;Amidohydrolase;Serine hydroxymethyltransferase-like domain;Peptidase M20	GO:0035999;GO:0030170;GO:0016787;GO:0004372;GO:0019264	ko00670;ko00460;ko00630;ko00680;ko00260	2.1.2.1	TIGR01891	amidohydrolases: amidohydrolase	MF_00051	Serine hydroxymethyltransferase [glyA].	
NODE_104_length_20247_cov_279.004_15416_18544_-	PF02142;PF02786;PF02787	MGS-like domain;Carbamoyl-phosphate synthase L chain, ATP binding domain;Carbamoyl-phosphate synthetase large chain, oligomerisation domain			IPR011607;IPR006275;IPR005479;IPR005480	Methylglyoxal synthase-like domain;Carbamoyl-phosphate synthase, large subunit;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	GO:0005524;GO:0006807	ko00240;ko00250	6.3.5.5	TIGR01369	CPSaseII_lrg: carbamoyl-phosphate synthase, large subunit			
NODE_104_length_20247_cov_279.004_18721_19611_-	PF12850	Calcineurin-like phosphoesterase superfamily domain			IPR024654	Calcineurin-like phosphoesterase domain, lpxH-type								
NODE_104_length_20247_cov_279.004_198_1463_-	PF11299	Protein of unknown function (DUF3100)			IPR021450	Protein of unknown function DUF3100								
NODE_104_length_20247_cov_279.004_4099_6222_-	PF02016;PF17676;PF02592;PF14489	LD-carboxypeptidase N-terminal domain;LD-carboxypeptidase C-terminal domain;Putative vitamin uptake transporter;QueF-like protein			IPR003744;IPR040921;IPR016856;IPR040449;IPR029500	Queuosine precursor transporter;LD-carboxypeptidase, C-terminal;NADPH-dependent 7-cyano-7-deazaguanine reductase, QueF type 1;LD-carboxypeptidase, N-terminal;NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	GO:1990397;GO:0055114;GO:0005737;GO:0046857;GO:0008616;GO:0033739	ko00790	1.7.1.13	TIGR00697;TIGR03139	TIGR00697: conserved hypothetical integral membrane protein;QueF-II: 7-cyano-7-deazaguanine reductase	MF_02088	Probable queuosine precursor transporter.	
NODE_104_length_20247_cov_279.004_6351_7172_+	PF01226	Formate/nitrite transporter			IPR000292	Formate/nitrite transporter	GO:0016020;GO:0022857;GO:0055085			TIGR00790	fnt: formate/nitrite transporter			
NODE_104_length_20247_cov_279.004_7393_7872_-	PF00011	Hsp20/alpha crystallin family			IPR002068	Alpha crystallin/Hsp20 domain								
NODE_104_length_20247_cov_279.004_8087_10527_-	PF01464;PF04073;PF07721	Transglycosylase SLT domain;Aminoacyl-tRNA editing domain;Tetratricopeptide repeat			IPR008258;IPR007214;IPR011717	Transglycosylase SLT domain 1;YbaK/aminoacyl-tRNA synthetase-associated domain;Tetratricopeptide TPR-4	GO:0002161;GO:0042802	ko00970	6.1.1.15					GH23
