target_id	t2A__length	t2A__eff_length	t2A__est_counts	t2A__tpm	t2B__length	t2B__eff_length	t2B__est_counts	t2B__tpm	t2C__length	t2C__eff_length	t2C__est_counts	t2C__tpm	t4A__length	t4A__eff_length	t4A__est_counts	t4A__tpm	t4B__length	t4B__eff_length	t4B__est_counts	t4B__tpm	t4C__length	t4C__eff_length	t4C__est_counts	t4C__tpm	t6A__length	t6A__eff_length	t6A__est_counts	t6A__tpm	t6B__length	t6B__eff_length	t6B__est_counts	t6B__tpm	t6C__length	t6C__eff_length	t6C__est_counts	t6C__tpm
NODE_100_length_21362_cov_245.16_1941_2582_-	639	423.553	0	0	639	433.613	0	0	639	440.601	0	0	639	441.942	0	0	639	433.554	0	0	639	427.807	0	0	639	422.041	0	0	639	434.491	0	0	639	438.904	0	0
NODE_100_length_21362_cov_245.16_1_211_+	204	53.6831	0	0	204	55.7705	0	0	204	57.1297	0	0	204	57.376	0	0	204	56.7816	0	0	204	53.5508	0	0	204	50.5744	0	0	204	53.0598	0	0	204	53.5406	0	0
NODE_100_length_21362_cov_245.16_2586_3381_+	792	576.287	0	0	792	586.08	0	0	792	593.264	0	0	792	594.595	0	0	792	586.171	0	0	792	580.364	0	0	792	574.452	0	0	792	587.224	0	0	792	591.589	0	0
NODE_100_length_21362_cov_245.16_281_1097_+	813	597.287	0	0	813	607.06	0	0	813	614.264	0	0	813	615.575	0	0	813	607.171	0	0	813	601.349	0	0	813	595.423	0	0	813	608.224	0	0	813	612.589	0	0
NODE_100_length_21362_cov_245.16_3714_5253_+	1536	1320.26	0	0	1536	1330.06	0	0	1536	1337.23	0	0	1536	1338.58	0	0	1536	1330.17	0	0	1536	1324.3	0	0	1536	1318.41	0	0	1536	1331.18	0	0	1536	1335.57	0	0
NODE_100_length_21362_cov_245.16_5324_12043_+	6708	6492.26	0	0	6708	6502.06	0	0	6708	6509.23	0	0	6708	6510.58	0	0	6708	6502.17	0	0	6708	6496.3	0	0	6708	6490.41	0	0	6708	6503.18	0	0	6708	6507.57	0	0
NODE_1010_length_950_cov_1.25659_1_950_+	945	729.255	0	0	945	739.06	0	0	945	746.231	0	0	945	747.575	0	0	945	739.171	0	0	945	733.299	0	0	945	727.408	0	0	945	740.177	0	0	945	744.568	0	0
NODE_1011_length_944_cov_3.89043_1_596_+	591	375.985	0	0	591	386.209	0	0	591	392.975	0	0	591	394.302	0	0	591	386	0	0	591	380.304	0	0	591	374.865	0	0	591	386.8	0	0	591	391.176	0	0
NODE_1011_length_944_cov_3.89043_747_944_-	195	48.6338	0	0	195	50.307	0	0	195	51.5399	0	0	195	51.8395	0	0	195	51.4623	0	0	195	48.6751	0	0	195	45.8252	0	0	195	48.195	0	0	195	48.4985	0	0
NODE_1012_length_943_cov_15.037_1_93_+	90	91	0	0	90	91	0	0	90	58	0	0	90	89	0	0	90	47	0	0	90	62	0	0	90	91	0	0	90	35	0	0	90	84	0	0
NODE_1012_length_943_cov_15.037_436_834_+	396	191.387	0	0	396	201.949	0	0	396	206.601	0	0	396	207.58	0	0	396	202.057	0	0	396	196.327	0	0	396	192.001	0	0	396	200.048	0	0	396	203.258	0	0
NODE_1013_length_942_cov_11_1_942_-	939	723.255	0	0	939	733.06	0	0	939	740.231	0	0	939	741.575	0	0	939	733.171	0	0	939	727.299	0	0	939	721.408	0	0	939	734.177	0	0	939	738.568	0	0
NODE_1014_length_941_cov_1.12153_1_466_+	462	251.124	0	0	462	261.855	0	0	462	267.671	0	0	462	268.91	0	0	462	262.402	0	0	462	256.16	0	0	462	251.152	0	0	462	261.149	0	0	462	264.855	0	0
NODE_1014_length_941_cov_1.12153_543_941_+	396	191.387	0	0	396	201.949	0	0	396	206.601	0	0	396	207.58	0	0	396	202.057	0	0	396	196.327	0	0	396	192.001	0	0	396	200.048	0	0	396	203.258	0	0
NODE_1015_length_939_cov_85_1_939_+	936	720.255	0	0	936	730.06	0	0	936	737.231	0	0	936	738.575	0	0	936	730.171	0	0	936	724.299	0	0	936	718.408	0	0	936	731.177	0	0	936	735.568	0	0
NODE_1016_length_939_cov_1.68677_1_939_-	930	714.255	0	0	930	724.06	0	0	930	731.231	0	0	930	732.575	0	0	930	724.171	0	0	930	718.299	0	0	930	712.408	0	0	930	725.177	0	0	930	729.568	0	0
NODE_1017_length_939_cov_56.0719_172_939_+	765	549.315	0	0	765	559.137	0	0	765	566.279	0	0	765	567.595	0	0	765	559.2	0	0	765	553.392	0	0	765	547.48	0	0	765	560.242	0	0	765	564.608	0	0
NODE_1017_length_939_cov_56.0719_1_145_+	141	20.4488	0	0	141	20.6218	0	0	141	21.3371	0	0	141	21.2305	0	0	141	21.3203	0	0	141	20.9459	0	0	141	19.4877	0	0	141	20.4317	0	0	141	20.7558	0	0
NODE_1018_length_938_cov_2008.71_733_938_+	204	53.6831	0	0	204	55.7705	0	0	204	57.1297	0	0	204	57.376	0	0	204	56.7816	0	0	204	53.5508	0	0	204	50.5744	0	0	204	53.0598	0	0	204	53.5406	0	0
NODE_1018_length_938_cov_2008.71_83_602_+	516	326.174	30	9.93639	516	326.383	11	8.21754	516	330.459	2	2.52525	516	336.034	31	18.1702	516	332.809	25	13.1743	516	336.293	16	8.8519	516	321.033	32	38.2637	516	332.372	28.7398	31.5925	516	337.211	17	23.946
NODE_1019_length_934_cov_1.23804_1_934_+	930	1389.52	3	0.233245	930	1447.64	2	0.336857	930	1441.63	4	1.1577	930	1500.55	3	0.39378	930	724.171	0	0	930	1473.78	5	0.631206	930	1384.36	1	0.277291	930	1417.73	1	0.25771	930	1427.76	4	1.33073
NODE_101_length_21264_cov_87.399_10040_10183_-	141	20.4488	0	0	141	20.6218	0	0	141	21.3371	0	0	141	21.2305	0	0	141	21.3203	0	0	141	20.9459	0	0	141	19.4877	0	0	141	20.4317	0	0	141	20.7558	0	0
NODE_101_length_21264_cov_87.399_10327_11115_+	786	667.082	1	0.161949	786	580.08	0	0	786	646.34	2	1.2911	786	713.143	3	0.828566	786	713.148	6	1.47555	786	713.779	1	0.260657	786	665.277	3	1.73103	786	689.907	1	0.529583	786	679.454	7	4.89355
NODE_101_length_21264_cov_87.399_11242_12774_+	1527	1477.46	9	0.658089	1527	1482.45	5	0.822367	1527	1455.96	11	3.15236	1527	1588.32	7	0.868048	1527	1583.38	12	1.32917	1527	1569.8	6	0.711119	1527	1476.89	4	1.03968	1527	1525.73	2	0.478936	1527	1530.08	4	1.24174
NODE_101_length_21264_cov_87.399_12824_14498_+	1671	1610.42	11	0.737921	1671	1600.06	42	6.40015	1671	1540.43	28	7.58416	1671	1679.28	34	3.98785	1671	1675.95	38	3.97655	1671	1676.3	30	3.32969	1671	1578.34	45	10.9445	1671	1622.52	21	4.72882	1671	1627.59	10	2.91837
NODE_101_length_21264_cov_87.399_14505_15192_+	684	512.753	2	0.421384	684	509.664	2	0.956804	684	473.97	5	4.4016	684	515.577	1	0.382022	684	518.762	2	0.676152	684	532.001	1	0.349721	684	469.549	3	2.4526	684	494.284	1	0.739176	684	493.822	3	2.8856
NODE_101_length_21264_cov_87.399_15268_18068_+	2796	2609.07	14	0.579694	2796	2629.16	32	2.96763	2796	2559.58	40	6.52053	2796	2721.8	12	0.868375	2796	2723.41	24	1.54554	2796	2744.92	19	1.28783	2796	2576.96	19	2.83029	2796	2676.85	23	3.13927	2796	2654.04	22	3.93733
NODE_101_length_21264_cov_87.399_1681_2052_+	369	168.78	9	5.76073	369	178.539	5	6.82832	369	182.466	1	2.2867	369	183.557	16	17.1685	369	179.022	24	23.5119	369	172.784	14	15.075	369	168.748	4	9.09929	369	176.155	19	39.408	369	178.983	14	37.1538
NODE_101_length_21264_cov_87.399_18269_20693_+	2421	2335.59	14	0.647571	2421	2345.85	8	0.831508	2421	2250.08	25	4.63589	2421	2380.24	29	2.39971	2421	2392.96	48	3.51794	2421	2424.48	42	3.22303	2421	2305.74	35	5.82698	2421	2345.78	18	2.80356	2421	2342.24	22	4.46146
NODE_101_length_21264_cov_87.399_1_1676_+	1665	1205.41	7	0.627366	1665	1197.62	11	2.23951	1665	1154.98	19	6.86388	1665	1275.42	28	4.32403	1665	1266.84	44	6.09132	1665	1254.38	37	5.4879	1665	1185.37	33	10.6868	1665	1243.03	54	15.8722	1665	1244.05	40	15.2725
NODE_101_length_21264_cov_87.399_20747_20927_+	177	38.8795	0	0	177	39.9601	0	0	177	40.894	0	0	177	40.8421	0	0	177	40.8623	0	0	177	38.9179	0	0	177	36.5224	0	0	177	38.1581	0	0	177	38.6794	0	0
NODE_101_length_21264_cov_87.399_2130_2249_+	117	9.50031	0	0	117	9.24868	0	0	117	9.50663	0	0	117	9.44064	0	0	117	9.49526	0	0	117	9.53038	0	0	117	9.16268	0	0	117	9.47183	0	0	117	9.29687	0	0
NODE_101_length_21264_cov_87.399_2465_3544_-	1077	1102.14	33	3.23469	1077	1116.09	57	12.4524	1077	1071.37	54	21.0303	1077	1142.37	50	8.62075	1077	1143.26	57	8.74406	1077	1126.9	32	5.28323	1077	1043.46	21	7.72556	1077	1098.07	36	11.9783	1077	1095.09	49	21.2535
NODE_101_length_21264_cov_87.399_3616_4347_+	729	513.315	0	0	729	523.208	0	0	729	547.929	1	0.761495	729	582.065	1	0.338385	729	582.344	4	1.20466	729	582.302	2	0.639023	729	540.176	4	2.84257	729	567.042	1	0.644332	729	563.055	3	2.53079
NODE_101_length_21264_cov_87.399_4457_5290_+	831	666.039	2	0.324404	831	687.537	5	1.77317	831	647.2	8	5.15755	831	701.073	14	3.93321	831	694.241	22	5.5577	831	708.075	20	5.25515	831	642.283	8	4.78134	831	685.193	10	5.33226	831	681.535	8	5.57555
NODE_101_length_21264_cov_87.399_5366_7989_+	2619	2387.01	9	0.407329	2619	2356.55	9	0.931199	2619	2304.15	15	2.71627	2619	2461.09	21	1.68064	2619	2464.77	35	2.49043	2619	2463.7	20	1.51035	2619	2341.48	24	3.93465	2619	2399.04	21	3.19821	2619	2397.65	22	4.35836
NODE_101_length_21264_cov_87.399_8025_10019_-	1992	1776.26	0	0	1992	1932.73	2	0.25231	1992	1849.91	1	0.225549	1992	2000.55	1	0.0984541	1992	2003.08	8	0.700444	1992	2009.98	8	0.740513	1992	1903.79	2	0.403271	1992	1946.97	10	1.87658	1992	1946.21	7	1.70842
NODE_1020_length_932_cov_1.11813_1_514_+	510	684.21	2	0.315789	510	720.687	1	0.338322	510	313.492	0	0	510	314.878	0	0	510	725.913	1	0.241601	510	731.96	1	0.254183	510	296.313	0	0	510	307.391	0	0	510	311.371	0	0
NODE_1020_length_932_cov_1.11813_526_932_+	405	199.301	0	0	405	509.602	2	0.956921	405	214.813	0	0	405	496.598	1	0.396623	405	210.198	0	0	405	204.238	0	0	405	440.526	1	0.871394	405	208.128	0	0	405	211.316	0	0
NODE_1021_length_928_cov_1.57344_1_928_+	927	711.255	0	0	927	1217.9	10	2.002	927	1194.11	3	1.04826	927	1267.04	5	0.777251	927	1275.47	2	0.275006	927	1269.1	2	0.293202	927	1165.25	3	0.988298	927	1208.65	1	0.30229	927	1214.9	1	0.390972
NODE_1022_length_927_cov_2.04_1_927_+	921	705.255	0	0	921	1246.55	6	1.17359	921	1269.26	1	0.328732	921	1410.09	5	0.698405	921	1362.91	4	0.514725	921	1349.44	1	0.137874	921	703.408	0	0	921	1335.64	1	0.27355	921	1375.92	2	0.690436
NODE_1023_length_924_cov_1.52302_1_924_+	921	962.698	12	1.34663	921	971.554	22	5.52119	921	948.276	13	5.72006	921	997.026	5	0.987748	921	991.412	5	0.884501	921	992.784	4	0.749617	921	921.724	6	2.49883	921	969.365	1	0.376909	921	974.492	8	3.8994
NODE_1024_length_924_cov_2.03896_1_924_+	918	863.014	4	0.500724	918	846.625	5	1.43998	918	860.678	1	0.484787	918	967.722	7	1.42472	918	944.297	2	0.371453	918	919.692	3	0.606894	918	882.354	2	0.870108	918	930.362	2	0.785421	918	937.592	4	2.02643
NODE_1025_length_923_cov_1.55437_1_923_-	918	1007.29	2	0.214502	918	976.409	1	0.249715	918	990.994	5	2.10519	918	1092.16	1	0.180342	918	1053.38	2	0.332987	918	1054.29	1	0.176471	918	700.408	0	0	918	713.201	0	0	918	717.568	0	0
NODE_1026_length_921_cov_3.98578_1_921_+	915	918.856	2	0.235147	915	934.924	8	2.08637	915	716.231	0	0	915	959.696	3	0.615702	915	966.681	1	0.181426	915	703.299	0	0	915	697.408	0	0	915	710.201	0	0	915	714.568	0	0
NODE_1027_length_919_cov_56.3052_1_500_-	498	285.196	0	0	498	295.661	0	0	498	301.979	0	0	498	303.407	0	0	498	296.05	0	0	498	290.108	0	0	498	284.87	0	0	498	295.785	0	0	498	299.686	0	0
NODE_1027_length_919_cov_56.3052_580_919_+	339	144.544	0	0	339	153.481	0	0	339	156.919	0	0	339	157.848	0	0	339	154.117	0	0	339	147.977	0	0	339	144.105	0	0	339	150.093	0	0	339	152.737	0	0
NODE_1028_length_917_cov_1.83214_1_917_-	909	1006.99	3	0.32185	909	1046.45	5	1.16501	909	1044.4	1	0.399509	909	1139.97	1	0.172779	909	1131.08	1	0.155056	909	697.299	0	0	909	973.552	2	0.7886	909	1086.7	2	0.672425	909	708.568	0	0
NODE_1029_length_916_cov_1.56138_105_916_-	804	1154.17	2	0.187204	804	1146	10	2.12761	804	1125.92	3	1.11175	804	1208.91	3	0.488778	804	598.171	0	0	804	1204.19	2	0.309008	804	1085.17	1	0.353744	804	599.224	0	0	804	603.589	0	0
NODE_1029_length_916_cov_1.56138_1_97_+	93	97.4352	1	1.10877	93	94	0	0	93	51.0772	1	8.16893	93	92	0	0	93	50	0	0	93	65	0	0	93	94	0	0	93	38	0	0	93	87	0	0
NODE_102_length_21186_cov_10.3554_11908_12537_+	624	408.595	0	0	624	418.754	0	0	624	425.72	0	0	624	427.043	0	0	624	418.67	0	0	624	412.86	0	0	624	407.289	0	0	624	419.576	0	0	624	423.947	0	0
NODE_102_length_21186_cov_10.3554_12585_12776_+	189	45.2286	0	0	189	46.8851	0	0	189	47.9923	0	0	189	48.1532	0	0	189	47.8971	0	0	189	45.444	0	0	189	42.6912	0	0	189	44.7936	0	0	189	45.0588	0	0
NODE_102_length_21186_cov_10.3554_12846_14121_+	1272	1056.26	0	0	1272	1066.06	0	0	1272	1073.23	0	0	1272	1074.58	0	0	1272	1066.17	0	0	1272	1060.3	0	0	1272	1054.41	0	0	1272	1067.18	0	0	1272	1071.57	0	0
NODE_102_length_21186_cov_10.3554_14255_14807_+	549	334.846	0	0	549	345.061	0	0	549	351.608	0	0	549	352.996	0	0	549	344.955	0	0	549	339.356	0	0	549	333.929	0	0	549	345.419	0	0	549	349.707	0	0
NODE_102_length_21186_cov_10.3554_14849_15139_-	288	106.619	0	0	288	113.565	0	0	288	115.848	0	0	288	116.861	0	0	288	114.088	0	0	288	108.597	0	0	288	105.195	0	0	288	109.783	0	0	288	111.426	0	0
NODE_102_length_21186_cov_10.3554_15148_18048_+	2895	2679.26	0	0	2895	2689.06	0	0	2895	2696.23	0	0	2895	2697.58	0	0	2895	2689.17	0	0	2895	2683.3	0	0	2895	2677.41	0	0	2895	2690.18	0	0	2895	2694.57	0	0
NODE_102_length_21186_cov_10.3554_1697_1843_+	144	21.8196	0	0	144	22.213	0	0	144	22.8805	0	0	144	22.7979	0	0	144	22.8605	0	0	144	22.4271	0	0	144	20.7711	0	0	144	21.9373	0	0	144	22.2418	0	0
NODE_102_length_21186_cov_10.3554_18049_19260_+	1209	993.255	0	0	1209	1003.06	0	0	1209	1010.23	0	0	1209	1011.58	0	0	1209	1003.17	0	0	1209	997.299	0	0	1209	991.408	0	0	1209	1004.18	0	0	1209	1008.57	0	0
NODE_102_length_21186_cov_10.3554_19274_20295_+	1014	798.255	0	0	1014	808.06	0	0	1014	815.231	0	0	1014	816.575	0	0	1014	808.171	0	0	1014	802.299	0	0	1014	796.408	0	0	1014	809.177	0	0	1014	813.568	0	0
NODE_102_length_21186_cov_10.3554_1_68_-	66	67	0	0	66	67	0	0	66	34	0	0	66	65	0	0	66	23	0	0	66	38	0	0	66	67	0	0	66	11	0	0	66	60	0	0
NODE_102_length_21186_cov_10.3554_20446_21078_+	630	414.574	0	0	630	424.67	0	0	630	431.655	0	0	630	433	0	0	630	424.607	0	0	630	418.839	0	0	630	413.186	0	0	630	425.519	0	0	630	429.933	0	0
NODE_102_length_21186_cov_10.3554_21092_21186_-	90	91	0	0	90	91	0	0	90	58	0	0	90	89	0	0	90	47	0	0	90	62	0	0	90	91	0	0	90	35	0	0	90	84	0	0
NODE_102_length_21186_cov_10.3554_2234_7517_-	5271	5055.26	0	0	5271	5065.06	0	0	5271	5072.23	0	0	5271	5073.58	0	0	5271	5065.17	0	0	5271	5059.3	0	0	5271	5053.41	0	0	5271	5066.18	0	0	5271	5070.57	0	0
NODE_102_length_21186_cov_10.3554_274_1312_+	1032	816.255	0	0	1032	826.06	0	0	1032	833.231	0	0	1032	834.575	0	0	1032	826.171	0	0	1032	820.299	0	0	1032	814.408	0	0	1032	827.177	0	0	1032	831.568	0	0
NODE_102_length_21186_cov_10.3554_7559_8932_-	1371	1155.26	0	0	1371	1165.06	0	0	1371	1172.23	0	0	1371	1173.58	0	0	1371	1165.17	0	0	1371	1159.3	0	0	1371	1153.41	0	0	1371	1166.18	0	0	1371	1170.57	0	0
NODE_102_length_21186_cov_10.3554_8977_11643_-	2658	2442.26	0	0	2658	2452.06	0	0	2658	2459.23	0	0	2658	2460.58	0	0	2658	2452.17	0	0	2658	2446.3	0	0	2658	2440.41	0	0	2658	2453.18	0	0	2658	2457.57	0	0
NODE_1030_length_915_cov_11.8819_1_915_-	912	878.746	3	0.36882	912	863.399	8	2.25921	912	843.551	6	2.96778	912	934.984	5	1.05329	912	928.896	12	2.26567	912	918.007	11	2.22936	912	846.009	14	6.35242	912	884.892	7	2.89023	912	885.172	12	6.43931
NODE_1031_length_907_cov_1.49277_1_893_-	888	672.255	0	0	888	682.06	0	0	888	689.231	0	0	888	690.575	0	0	888	682.171	0	0	888	676.333	0	0	888	670.408	0	0	888	683.224	0	0	888	687.568	0	0
NODE_1032_length_905_cov_0.983092_1_213_+	210	57.107	0	0	210	59.5215	0	0	210	60.9891	0	0	210	61.331	0	0	210	60.424	0	0	210	56.9973	0	0	210	54.1595	0	0	210	56.5948	0	0	210	57.2544	0	0
NODE_1032_length_905_cov_0.983092_217_417_+	198	50.1571	1	2.15389	198	52.1128	0	0	198	53.3691	0	0	198	53.6102	0	0	198	53.2057	0	0	198	50.2169	0	0	198	47.4054	0	0	198	49.782	0	0	198	50.2337	0	0
NODE_1032_length_905_cov_0.983092_530_905_+	375	219.102	2	0.986142	375	231.059	3	3.16574	375	229.089	1	1.82133	375	242.489	4	3.249	375	240.147	3	2.19092	375	235.117	4	3.16527	375	173.858	0	0	375	231.608	5	7.88754	375	237.262	1	2.00197
NODE_1033_length_901_cov_4.58981_1_776_+	771	535.691	1	0.20167	771	535.061	7	3.18986	771	524.677	2	1.59049	771	578.351	5	1.70279	771	555.484	2	0.631453	771	565.788	3	0.986511	771	553.48	0	0	771	566.662	1	0.644763	771	566.132	1	0.839013
NODE_1034_length_898_cov_0.991474_40_898_-	855	639.287	0	0	855	649.06	0	0	855	656.231	0	0	855	657.575	0	0	855	649.171	0	0	855	643.333	0	0	855	637.408	0	0	855	650.224	0	0	855	654.568	0	0
NODE_1035_length_898_cov_3.59805_1_898_-	891	666.025	2	0.324411	891	665.321	2	0.732953	891	648.234	5	3.21833	891	679.79	2	0.579479	891	684.188	9	2.30701	891	687.417	5	1.35327	891	662.054	2	1.15964	891	682.775	4	2.14046	891	685.155	3	2.07978
NODE_1036_length_897_cov_63.7293_1_897_-	894	806.127	3	0.402045	894	815.221	1	0.29909	894	773.793	4	2.15688	894	857.605	9	2.06699	894	841.266	9	1.87625	894	862.793	6	1.29383	894	797.307	10	4.8146	894	834.135	9	3.94213	894	842.012	2	1.12823
NODE_1037_length_895_cov_1.92176_57_895_-	834	618.287	0	0	834	628.06	0	0	834	635.264	0	0	834	636.575	0	0	834	628.171	0	0	834	622.349	0	0	834	616.408	0	0	834	629.224	0	0	834	633.589	0	0
NODE_1038_length_894_cov_1.75765_114_894_-	774	1282.46	5	0.421195	774	1297.16	21	3.94733	774	1224.87	12	4.08774	774	1284.61	4	0.613296	774	1295.93	2	0.270665	774	1302.92	3	0.428389	774	1165.5	4	1.31744	774	1191.77	3	0.919716	774	573.608	0	0
NODE_1039_length_893_cov_1.35417_1_193_-	192	47.0056	1	2.2983	192	48.6531	0	0	192	49.7647	0	0	192	49.9744	1	3.94126	192	49.6919	0	0	192	47.0303	0	0	192	44.2616	0	0	192	46.4968	0	0	192	46.7248	0	0
NODE_1039_length_893_cov_1.35417_374_893_-	513	654.151	1	0.16515	513	310.163	0	0	513	670.809	1	0.622004	513	699.491	1	0.281579	513	310.234	0	0	513	687.404	2	0.541318	513	299.17	0	0	513	310.308	0	0	513	314.339	0	0
NODE_103_length_20772_cov_1557.83_10062_10841_-	771	448.775	64	15.4066	771	440.545	22	12.1761	771	448.189	6	5.58576	771	447.441	20	8.80394	771	446.966	29	11.3791	771	447.913	22	9.13825	771	435.354	8	7.05396	771	429.704	2	1.70053	771	438.011	2	2.16886
NODE_103_length_20772_cov_1557.83_11041_11169_-	126	13.3581	0	0	126	13.1946	0	0	126	13.6282	0	0	126	13.7821	0	0	126	13.6633	0	0	126	13.7756	0	0	126	13.1282	0	0	126	13.4349	0	0	126	13.7196	0	0
NODE_103_length_20772_cov_1557.83_11215_11607_+	390	222.793	17	8.24336	390	225.678	16	17.2866	390	235.373	7	12.4089	390	262.042	20	15.0329	390	252.856	15	10.404	390	244.192	14	10.6667	390	228.393	22	36.9766	390	249.765	21	30.7194	390	253.973	13	24.3132
NODE_103_length_20772_cov_1557.83_11612_13071_+	1455	1254.27	193	16.6235	1455	1229.31	86	17.0575	1455	1232.65	41	13.8783	1455	1318.38	110	16.4336	1455	1303.3	98	13.1876	1455	1308.39	80	11.3759	1455	1259.12	149	45.4262	1455	1289.64	66	18.6982	1455	1297.25	57	20.8707
